04-088-0-0009

12-023-0-0213
02-040-0-0002
01-231-0-0005
15-045-0-0109
08-019-0-0035
01-105-0-0017
02-099-0-0019
13-038-0-0136
20-051-0-1013
09-026-0-0041
12-088-0-0607
01-191-0-0090
BLM
05-065-0-0002
20-072-0-0108
14-031-0-0013
12-035-0-0157
14-006-0-0127
03-002-0-0008
01-269-0-0002
11-050-0-0002
01-042-0-0015
03-019-0-0008
01-057-0-0010
15-067-0-0242
15-041-0-0345
10-006-0-0129
01-100-0-0015
18-060-0-1201
09-034-0-0010
01-102-0-0020
12-023-0-0217
06-046-0-0017
02-035-0-0022
02-054-0-0031
20-001-0-0532
11-049-0-4061
08-018-0-0005
08-026-J-0404
12-035-0-0188
05-033-0-0044
15-004-0-0309
09-021-0-0047
01-016-0-0005
20-051-0-1044
08-055-0-0027
13-083-0-0106
01-106-0-0013
20-001-0-0518
08-055-0-0060
01-105-0-0034
01-147-0-0009
10-033-0-0099
15-048-0-0047
08-044-0-0059
10-009-0-0019
08-055-0-0094
02-040-0-0020
02-082-0-0019
02-080-0-0013
01-090-0-0024
04-124-0-0005
20-051-0-1054
04-071-0-0018
13-038-0-0118
10-006-0-0131
08-026-0-0024
10-029-0-0013
12-094-0-000E
20-019-0-0101
15-083-0-0102
10-041-0-0013
19-067-0-0113
19-075-0-0306
10-028-0-0071
12-055-0-0054
08-003-0-0040
05-018-0-0019
13-026-0-0803
13-074-0-0150
20-049-0-0130
14-094-0-0305
14-092-0-0004
09-023-R-0018
08-049-0-0009
06-032-0-0002
01-052-0-0005
05-039-0-0010
11-019-0-0103
09-021-0-0022
14-079-0-0714
05-034-0-0092
08-038-0-0064
11-068-0-0023
02-058-0-0018
03-067-0-0013
07-069-0-0007
05-035-0-0040
06-034-0-0029
15-084-0-0007
10-004-0-0067
01-068-0-0056
12-106-0-0201
02-149-0-0001
10-019-H-0306
01-283-0-0034
01-076-0-0014
02-145-0-0023
02-109-0-0006
08-001-0-0002
12-036-0-0047
11-032-0-0222
11-086-0-0010
12-107-0-0502
12-113-0-0101
10-046-0-0076
10-025-0-0017
02-095-0-0004
20-069-0-0214
11-095-0-0036
01-100-0-0041
12-095-0-0413
15-039-0-1303
10-025-0-0010
13-068-0-0540
12-057-0-0307
15-063-0-1118
14-026-0-0037
02-037-0-0014
10-013-0-0105
13-025-0-0711
08-057-C-0513
07-050-0-0001
10-018-0-0047
15-067-0-0236
15-057-0-0004
02-035-0-0030
10-031-0-0205
13-074-0-0153
01-105-0-0023
98-000-0-0207
09-024-0-0022
13-037-0-0559
10-030-0-0044
09-019-0-0104
02-038-0-0033
06-047-0-0023
01-095-0-0028
12-039-0-0306
16-070-0-0335
13-046-0-0S13
08-060-0-0006
02-087-0-0012
02-130-0-0005
16-095-0-0014
19-038-0-0108
09-019-0-0044
01-239-0-0003
02-048-0-0011
01-188-0-0018
01-286-0-0024
19-061-0-0504
02-075-0-0010
16-016-0-0241
01-151-0-0004
20-040-0-0432
02-141-0-0037
12-040-0-0119
15-067-0-0208
07-073-0-0006
08-025-0-0023
10-025-0-0078
07-078-0-0002
08-028-0-0029
10-029-0-0020
05-081-0-0003
01-144-0-0003
19-056-0-4034
02-102-0-0011
06-067-0-0002
12-027-0-0003
13-055-0-0006
02-007-0-0069
02-125-0-0036
12-094-A-0215
15-048-0-0034
14-045-0-6124
11-002-0-0001
07-026-0-0004
20-029-0-0814
18-058-0-0429
09-027-0-0059
13-039-0-0203
17-036-0-0002
02-065-0-0001
11-017-0-0004
13-042-0-0891
02-060-0-0033
02-101-0-0003
02-038-0-0019
12-018-0-0001
01-077-0-0077
19-056-0-4023
15-041-0-0346
11-070-0-0037
06-094-0-0005
02-037-0-0012
08-001-0-0003
06-021-0-0019
08-040-A-0009
01-065-0-0011
10-046-0-0078
12-105-0-0480
12-033-0-0203
16-070-0-0347
12-010-0-0161
08-050-0-0051
02-044-0-0010
19-061-0-0506
02-048-0-0020
16-046-0-0004
02-052-0-0025
14-006-0-0166
13-006-0-0012
10-042-0-0013
06-006-0-0012
14-031-0-0011
14-004-0-0897
13-074-0-0118
05-020-0-0053
11-096-0-0036
04-073-0-0001
12-033-0-0205
17-088-0-0002
09-003-0-0073
10-009-0-0051
19-088-0-0101
14-006-0-0176
16-072-0-0001
14-038-0-0002
02-146-0-0003
14-063-0-0190
11-069-0-0225
03-017-0-0015
11-017-0-0010
08-037-0-0017
01-065-0-0006
02-112-0-0012
01-114-0-0014
08-055-0-0086
09-003-0-0002
02-016-0-0039
02-108-0-0001
13-068-0-0517
13-058-0-0105
09-034-0-0031
14-036-0-0318
05-035-0-0016
02-143-0-0080
01-091-0-0002
01-048-0-0060
12-038-0-0030
12-110-0-0037
04-105-0-0002
02-099-0-0022
