65-042-2-40-12-17-2 02-000-001000
65-024-2-41-11-35-2 04-000-001000
65-036-2-40-11-09-2 04-000-002000
65-026-2-37-11-16-5 05-001-001000
65-028-2-38-11-15-3 03-000-001010
65-040-2-39-10-25-5 05-005-002000
65-014-2-40-13-17-5 05-005-006010
65-004-2-38-13-07-2 03-000-003000
65-026-2-37-11-03-5 05-003-002000
65-012-2-41-12-36-5 05-002-004000
65-038-2-41-10-24-1 03-000-001000
65-016-2-41-13-18-3 02-000-005000
65-036-2-40-11-34-1 04-000-005000
65-030-2-42-13-16-1 03-000-002000
65-008-2-38-12-02-5 05-003-007000
65-042-2-40-12-27-3 01-000-003000
65-281-2-39-12-32-5 15-594-512000
65-028-2-38-11-28-3 04-000-001000
65-008-2-38-12-02-5 05-006-004000
65-026-2-37-11-16-5 15-072-513000
65-042-2-40-12-35-5 15-200-400000
65-002-2-37-13-21-1 02-000-001000
65-020-2-39-13-26-5 05-001-007000
65-030-2-42-12-14-2 02-000-001000
65-030-2-42-13-28-5 15-290-505000
65-004-2-38-13-33-2 02-000-001000
65-026-2-37-11-23-5 15-382-504500
65-281-2-39-12-31-5 15-036-664500
65-008-2-38-12-04-3 04-000-001000
65-042-2-39-12-10-1 03-000-001000
65-008-2-38-12-16-4 03-000-002000
65-282-2-38-13-36-5 15-160-503000
65-022-2-42-11-25-2 01-000-001000
65-006-2-40-10-30-2 02-000-001010
65-026-2-37-11-14-5 05-001-007000
65-016-2-41-13-12-3 04-000-001010
65-282-2-38-13-25-5 05-001-016000
65-030-2-42-13-27-5 15-776-502000
65-040-2-39-10-08-3 04-000-001000
65-042-2-40-12-35-5 15-478-501000
65-028-2-38-11-03-5 05-014-003000
65-022-2-42-10-05-2 03-000-003000
65-282-2-38-12-30-5 15-470-601500
65-024-2-41-11-34-2 02-000-001000
65-002-2-37-13-33-5 15-114-502000
65-040-2-39-10-03-4 03-000-003000
65-032-2-37-12-34-5 05-005-007500
65-020-2-39-13-27-1 03-000-001000
65-030-2-42-12-32-5 05-002-005000
65-030-2-42-13-35-5 05-005-001000
65-004-2-38-13-18-2 03-000-001000
65-030-2-42-13-17-5 15-628-509000
65-040-2-39-10-13-4 03-000-003000
65-022-2-42-10-18-2 03-000-001000
65-281-2-39-12-31-5 15-080-010040
65-282-2-37-12-05-5 05-002-010000
65-010-2-38-10-33-1 03-000-001000
65-026-2-37-11-22-5 15-426-504000
65-282-2-37-12-05-5 05-003-012000
65-281-2-39-12-31-5 15-040-728500
65-040-2-39-10-24-5 15-398-514500
65-281-2-39-12-31-5 15-080-005030
65-030-2-42-12-17-5 05-009-004000
65-020-2-39-13-21-5 05-004-001000
65-032-2-37-12-12-2 03-000-002000
65-026-2-37-11-23-5 15-808-524000
65-032-2-37-12-04-5 05-005-002000
65-002-2-37-13-29-3 04-000-003000
65-014-2-40-13-30-5 05-004-008000
65-010-2-37-10-26-5 05-002-007000
65-026-2-37-11-26-2 04-000-003000
65-030-2-42-12-30-5 05-001-006000
65-004-2-38-13-16-4 02-000-001010
65-282-2-38-13-36-5 15-160-509000
65-020-2-39-13-17-5 15-384-510000
65-004-2-38-13-09-3 01-000-001000
65-028-2-38-11-31-1 01-000-001000
65-034-2-39-12-27-5 15-056-514500
65-020-2-39-13-17-1 04-000-002000
65-042-2-40-12-34-4 02-000-002000
65-282-2-38-13-35-1 04-000-005000
65-012-2-41-12-13-4 04-000-001000
65-028-2-38-11-19-1 04-000-004000
65-006-2-40-10-14-5 05-002-004000
65-024-2-41-11-01-2 03-000-001000
65-282-2-38-13-26-4 01-000-005000
65-034-2-39-12-13-1 04-000-001000
65-038-2-41-10-09-3 03-000-001000
