
FDL1517104479500
RIP161499MP16000
T16141999SW03000
V05161799MD14000
T021318170400100
RIP161499HC26000
FDL1517121225600
RIP1614280509002
T031319290700100
T141514161500200
T051719250700300
RIP161499RO32000
FDL1517242475100
T181615230300400
V02131999DE04000
T161419130800200
T171614220502400
FDL1517243229600
FDL1518064353100
T20161899HA07000
T211415060500100
T201618211506500
T041417351300300
T121516151000200
T121516031200300
T141514330300100
FDL1517152480700
T051718361200600
T171614291401300
T061418161200100
T061418151500100
T05171899RB03000
V081619251600200
RIP161499FD16000
T161419130507500
FDL1517233353700
FDL1517112485300
FDL1517142226700
V05161799WI39000
T211415250400200
FDL1517104108400
T011414200300100
T161419021000300
FDL1517024225600
T20161899NI24000
FDL151799SN01200
FDL1517023475100
WPN141599OU18500
T071616110900100
T141514170700100
FDL1517024225500
T011414061500300
T031319081300100
T161419210900300
FDL1517151491900
T051719350601200
RIP1614210113000
RIP1614270601000
T011414240800200
FDL1517023482300
T201618211200600
V08161999OP36400
T101519040100200
WPN141599AT41000
T151416340500100
FDL1517231478400
T011414080600100
T09151799BR16000
RIP161499SB16000
T081518130200300
T151416220700200
T161419320500100
FDL1517224350600
T201618301300200
T211415351500300
V02131999NF02000
FDL1517134354000
T211415330200100
T141514081000100
FDL1517102358100
FDL1517144115400
FDL1517241478200
RIP161499CH26000
V05161799SA37000
T051718231200100
WPN141599WO30000
FDL1517142234000
T171614071300100
T101519121100100
FDL1517154107300
FDL1517141231600
FDL1517023352200
FDL1517102483100
T041417340400100
FDL1517133477400
T071616140300300
FDL1517101109300
T161419261601200
T131619230700100
T041417071200200
T101519361200100
RIP161499PR43000
T181615040600300
T211415190500100
RIP161499MO18000
T201618160108000
FDL1517033350500
FDL1517141359000
FDL1517232483400
T081518270400200
T02131899LF04000
T081518191300100
FDL1517043477500
T09151799LB20000
T061418250200400
T211415250700200
FDL1517151231400
T041417250400200
V131619280700200
FDL1517113489200
FDL1517154352600
T02131899AS15000
T051719170500500
T041417340300100
V03141899OP15000
T141514080200200
FDL1517023350800
FDL1517103102700
T061418240900200
T071616321500400
T111617170700100
T071616230609000
V02131999DE04500
T041417030400600
T141514350200200
T011414100400100
T061418211400200
T11161799RH14500
RIP1614210224018
T121516230200300
T06141899TW17000
T091517190900100
T071616191200300
T031319051000300
FDL1517134476200
FDL1517152354100
T081518081600100
V131619290500800
FDL1517162107200
T161419320100300
T151416071200100
T121516231600200
FDL1517142475300
FDL1517161112400
RIP1614211548002
FDL1517143102100
FDL1517231225400
FDL1517154113700
T061418300400100
FDL1517144103300
FDL1517222102300
T081518211000300
T161419130505500
FDL1517221477600
FDL1517092475100
T101519210300100
FDL1517143482500
T041417300500100
FDL1517091225300
T11161799MB11000
T20161899DE40000
T041417211000200
T031319220100300
T161419361100100
FDL1517163350401
FDL1517111230800
T171614270200700
T11161799RH01000
T16141999RL33000
T011414260300200
T171614290400200
WPN141599OV03001
FDL1517132356000
FDL1517144113600
T131619280400100
V02131999NE12000
T101519351200100
WPN141599RR31000
T081518231200100
T171614131200100
T131619080800100
V02131899CL08600
T061418260900200
FDL1517103482800
FDL1517014226600
FDL1517113479100
T191515250600100
T161419130105000
V05161799PO38500
RIP161499CE80000
T041417320300700
FDL1517143245400
T111617281300600
T03131999HE03000
T061418301000100
T061418040300600
RIP161499SD39000
T201618280901500
FDL1517114483601
RIP161499LO35500
T081518280800700
T121516350500200
T131619160700200
T021318241600100
FDL1517154484300
FDL1517262111400
T12151699SM15000
V02131899OP16000
FDL1517144232900
FDL1517132358000
T101519290500200
T111617080700300
T131619320100300
T181615130800600
T101519071600100
T171614181500100
T101519040100100
FDL1517133476200
RIP1614171404002
RIP1614171611004
T021318160100100
