20  32 43 22
22  13 34  2
05  01 24 15
05  25 72 39
18  29 22  4
06  31 74  9
16  17 22  4
33  13 82 52
10  13 31 12
31  21 78  2
32  02 34 11
18  29 71 12
15  24 33  5
30  24 90 19
34  29 74 36
10  29 12  2
01  25 34
34  29 71 11
05  26 21  7
32  02 42  5
14  11 43
22  21 34  1
21  16 14  4
04  16 24
05  36 74  4
30  26 78  6
18  27 41  2
25 131 71 30
22  24 21  3
05  13 43  6
03  09 71 20
34  19 84 44
35  04 70 16
05  36 52 12
15  20 55  1
26  35 78 14
01  32 34  7
33  13 74  8
15  11 53 11
35  04 70 12
15  19 11  2
32  02 90  6
20  08 33  2
21  09 12  2
05  26 23 12
33  12 76113
14  32 31  4
33  13 80 14
16  03 12  6
05  33 55  4
10  13 13  2
16  28 72 15
16  29 22  5
33  13 74134
18  20 43  4
33  01 70118
32  02 72  3
05  33 31  1
01  28 11  3
01  29 41
15  20 23  2
30  26 75  6
02  36 71 12
05  34 76 30
04  25 32  1
09  35 22  3
07  04 57
05  18 44  2
12  24 42  2
31  15 34  5
21  16 42  2
19  17 32  2
20  35 43  3
26  35 71406
34  30 33  9
12  11 42  4
33  13 85  4
30  26 80 11
20  11 13  3
33  12 74 10
09  21 22
15  11 13
13  29 24  5
11  29 13  3
26  35 71593
30  23 13 26
11  36 42  6
02  35 31  1
03  08 72 26
17  22 21  1
35  04 78  2
35  04 79 50
22  28 13
02  16 23  6
01  24 43 18
11  04 22
17  36 41
30  23 12  2
05  31 31 12
05  22 71 17
33  12 76 58
05  18 12
15  28 72  1
34  30 12 23
03  11 32 13
15  23 73  5
20  25 31  1
33  12 12  4
12  05 71  9
34  19 78  6
01  13 11  2
15  03 71 48
33  01 70 25
02  25 71 37
33  01 34  3
05  35 12 10
32  03 21  2
30  23 71  3
02  14 13  3
16  03 42  4
25  25 75 85
13  11 34  4
25  36 71 33
11  26 31 17
01  24 12
15  03 71166
25  25 73122
20  23 13
30  26 77  2
31  21 42 37
10  20 24
25  25 76127
17  05 24  5
05  01 41  3
35  04 81  9
05  32 23  2
03  22 11
05  27 51 10
12  07 75 11
12  10 21  2
17  35 14  4
20  28 32  4
11  34 44  9
20  20 22  1
04  08 34  3
12  01 34  5
24  05 71118
35  04 70 98
27  22 71200
34  25 78 11
32  03 14  3
15  24 22  3
34  19 70  5
20  10 32  1
13  21 22 10
10  16 13  2
01  02 43  4
08  07 44  5
16  01 71350
17  16 22  6
08  36 11  1
12  17 41  2
17  04 21
05  16 42  5
05  34 77  9
05  08 23  6
13  11 33
21  11 55  1
05  02 43 12
06 126 52  1
01  04 43
28  15 71  3
30  26 82  6
03  04 77  8
34  26 71 17
30  23 71121
03  30 21  2
15  09 31  2
13  06 33
05  32 70 33
19  17 24  2
20  10 12  5
16  17 21  4
25  36 71 46
09  13 14  5
03  09 23  1
16  02 24  5
06 135 11  2
03  11 32  2
16  01 71245
10  36 41  1
14  28 34  4
13  21 44 16
19  22 11
05  34 74  8
06  19 71  4
24  06 71  7
22  25 14
08  35 23  3
02  35 22  1
14  08 32
03  35 12  2
08  28 22  1
09  14 14  6
33  13 77 53
15  36 71 17
34  19 82189
17  33 43
10  22 13  8
10  11 32
11  31 23 14
26  02 72 17
07  19 41  1
03  32 31  2
32  02 86 11
04  05 14  3
11  31 14  4
12  02 13
09  13 12  5
03  05 71  3
30  13 43 10
03  10 32  1
33  13 94 24
05  33 77 17
06  29 22  2
20  28 33  5
05  10 13  2
04  29 11  2
33  12 71  1
02  01 23  6
08  16 24  7
13  27 24  3
15  07 41  5
34  29 75 21
15  14 11  1
25  36 52 16
26  35 71202
18  19 22  7
30  24 72 41
14  32 12  2
32  02 75  8
03  04 71  2
16  02 22 13
33  12 56  5
05  06 14  3
05  01 12  3
07  24 33  3
11  23 33  1
14  25 12
05  14 43  3
21  02 22  1
07  31 21  2
06  31 71  9
33  13 83 35
16  08 14
17  06 23
25  25 71 86
35  05 71 20
03  08 73 16
11  02 43
03  12 31  7
30  24 76 41
17  23 24  1
16  21 71 12
25  25 71107
26  35 71 28
30  26 13  3
25 131 71 53
06  31 73 38
01  25 42  1
32  02 72101
14  07 54  2
34  30 75 10
30  24 77121
35  04 79 76
03  27 11
01  05 11  1
16  27 23  4
15  11 58 13
09  02 41  4
09  16 34  2
25  25 73206
01  31 43  2
07  25 13  2
03  04 78  3
16  36 52  6
22  20 21  2
05  33 74 49
17  04 32  1
14  05 11  5
14  25 55  2
13  08 11  2
15  15 42  4
34  19 81 88
33  12 73 12
34  29 42 25
12  29 12  1
17  12 32  3
21  02 11
03  04 59  9
05  32 71 23
11  05 12
11  35 32  3
12  19 14  1
30  23 92 58
13  33 52  5
01  01 33
03  29 70 13
19  10 43
13  11 41  1
02  23 43  8
12  26 22
01  34 31
08  35 13  5
17  04 34
18  15 31  2
19  11 31
13  21 44  6
33  12 75  6
18  24 41  2
12  19 71 42
20  07 13  1
17  02 70 23
16  28 72 14
26  35 71204
15  35 44 12
28  22 71515
14  13 13
15  11 58  3
34  30 70 88
06  30 34 11
05  33 75 28
09  03 21
34  29 75133
11  16 34
31  21 41 14
06  17 34  4
31  15 73 19
04  17 43  1
05  35 52 51
12  19 71 51
16  19 12  2
13  29 33  8
20  21 71  1
16  33 41  1
22  31 42  3
26  35 77  6
04  07 51  9
09  30 42  2
03  01 12 15
06 127 21  1
26  35 71599
01  09 23  3
19  32 12  1
21  15 21  2
25  36 51 19
30  24 80132
34  19 84 33
35  04 81 43
06  31 52  6
03  15 43  6
05  33 73 11
33  13 41  5
02  23 22  1
06  30 41  3
34  29 79 21
09  17 41  6
34  30 74 24
26  35 71361
19  13 34  5
02  25 41  2
03  14 31  2
17  33 44  1
33  12 71  3
02  14 13  8
06 131 21  3
18  18 11  7
10  19 23  3
33  12 72  6
35  04 79127
26  02 73 20
08  27 13
02  02 21  8
12  31 41
02  24 24  3
09  10 31  2
15  02 31
03  12 31 20
08  24 11  1
05  34 57 11
33  13 93 25
35  04 77 10
20  21 71 18
20  13 21  5
09  17 44  2
02  36 71 24
03  04 72 11
26  35 11  5
12  19 71 67
09  15 12  8
20  12 34
33  12 77320
35  05 58 18
12  14 43
12  01 34  6
32  02 23  4
33  13 41 16
07  20 33  3
32  02 11 29
21  14 33
14  02 24
10  06 22  1
03  33 13  1
18  36 24
34  28 11 15
22  22 21  5
03  02 71  8
04  16 33  2
16  18 44  2
03  02 71 20
05  04 13  5
12  17 21  4
15  23 72  3
30  23 78 36
07  12 33
26  35 71571
34  32 21  5
04  32 33
31  22 32  2
30  24 77108
13  28 33  7
33  13 80 32
26  35 78  3
34  34 70 62
10  15 71  2
14  28 12  2
33  13 87 47
32  02 73 69
09  32 14  7
30  25 21  7
04  06 23  2
13  12 22 10
19  34 71220
10  22 41  6
07  34 22  1
11  25 71 20
05  34 57 13
06 124 59
01  09 32
31  16 41 18
15  15 41 13
16  03 24  7
34  26 70 54
34  34 70 55
07  03 52
18  35 23
13  04 24  9
02  33 44  5
31  15 71 28
33  13 33  8
05  34 79  5
04  17 44  2
21  16 43 17
05  25 72 35
13  15 71  6
34  29 22 38
34  25 78 21
34  29 22 20
08  13 71 31
09  10 42  2
11  17 32  8
15  36 71 21
35  05 71 15
13  24 22  1
05  33 74 19
12  19 22  8
18  19 32  5
17  08 22  2
19  19 12
33  13 75  1
08  25 41  1
17  24 21  2
05  09 42  5
30  23 83105
14  27 23  1
34  34 34  2
03  07 23  2
08  20 32  2
20  14 13
13  33 52  9
19  19 42
18  28 23  5
33  13 42 10
17  29 11  4
05  33 78  4
30  24 76 57
09  19 44  1
03  33 34  2
34  30 74 32
04  05 31  3
03  03 52  3
08  02 13
07  18 11  4
31  16 12  2
19  36 23  6
21  11 53
15  34 22  1
15  04 23  5
34  20 31  9
16  21 71 26
33  01 33  1
02  13 21  2
06 131 24  3
24  07 51 16
34  20 43  4
15  23 71 54
06 134 34  3
16  22 54  3
11  12 14 12
07  13 12
09  24 44  2
17  23 41  6
17  15 33  2
11  04 44  2
30  25 72 27
33  13 31 39
11  24 11  2
33  13 31 19
03  04 56  5
06  19 71  6
03  12 71 12
09  10 13  3
33  13 73172
09  04 23 10
33  13 76  2
03  03 73  3
13  28 12  5
07  11 43
04  09 21  3
15  24 71 16
12  01 12
01  29 12  6
21  20 31  9
35  04 79 17
22  36 13  1
21  20 42  4
03  12 72 16
13  02 11  1
04  20 12
26  35 76213
34  29 13  6
07  24 41
15  25 14  7
11  17 24 10
26  35 75 33
30  26 83  6
11  13 11  2
18  07 34  6
34  29 22 61
12  08 31  3
35  04 70187
19  10 71  1
21  10 54  7
15  31 54  1
15  33 23  3
30  23 71160
05  12 44
03  19 33  3
31  22 22 31
16  36 52 13
33  13 83 48
14  18 53  2
04  05 23  6
07  33 31
19  01 43
30  24 74 56
03  33 33  1
03  03 43 23
03  04 73 17
19  09 13  1
22  13 43  2
33  13 94 52
21  06 55  1
05  35 12  8
15  26 44  1
30  24 23  2
13  06 23  1
20  28 34  3
13  25 14
07  36 44
30  24 80 24
05  23 31 11
11  25 23  3
13  34 41  6
30  24 82 22
18  20 13  7
01  17 32  3
11  11 14  2
23  27 14  1
01  36 32  3
10  13 31 16
11  04 43
16  28 72  9
34  29 74 46
02  02 22 12
33  13 75 43
22  36 21
08  10 31  9
18  16 11  2
20  01 44  6
08  31 32 10
22  25 24
02  35 11  5
03  12 71 72
12  07 72 13
12  19 43  1
21  16 31  3
05  34 55 25
34  30 12 38
13  30 12 17
04  10 33  2
02  02 12 10
33  13 89 36
07  03 53
12  30 24  5
26  02 73 26
22  13 43  3
34  25 73 32
04  31 21 13
03  04 76  3
08  14 32  3
12  19 71 21
03  02 31
17  12 13 10
17  25 31
15  06 43  1
03  09 71  5
20  19 12  1
20  35 42  3
30  23 71136
28  22 71307
09  20 22
11  23 41  1
11  34 32 11
16  04 43  7
04  17 21  2
05  02 43 11
05  03 13  3
30  25 72  6
03  02 71 12
31  15 71 13
21  16 44  4
15  11 51 14
11  11 41  1
30  24 42 23
11  01 22  1
01  13 22  9
02  36 44  4
32  02 84 51
23  23 43  3
17  19 43  1
03  01 75  4
30  26 84  4
06 131 14  1
15  26 32  3
35  04 80 22
26  35 71 27
25  36 71 27
31  21 80  2
30  23 88 20
02  27 24  2
17  31 42
14  32 11  5
33  13 77 16
21  09 13  1
04  15 44  6
03  20 43  2
14  03 31  2
15  20 12  3
14  26 21  1
13  24 43  1
18  29 31  2
21  09 22  3
22  25 21  2
05  02 43 13
33  13 82 62
06  20 41  4
34  30 11 10
05  33 77  4
08  04 43
05  06 14  5
05  35 54 44
15  36 22
