032-01027.000
004-00546.000
022-00509.000
018-00198.006
032-06739.000
024-00947.000
251-06593.000
032-04326.006
024-00908.007
032-04056.002
022-01048.001
004-00294.000
032-06041.000
010-01081.000
004-00947.000
030-02320.000
026-01461.000
036-01857.001
032-01566.005
032-01441.000
032-07289.000
012-02215.002
251-04632.000
022-00326.001
016-00341.000
036-01020.007
002-00547.000
002-00034.000
032-05137.000
024-01574.003
016-01200.009
024-00621.001
022-00405.000
032-01662.000
191-00576.001
022-00521.002
271-01030.000
018-00388.001
251-04625.000
032-07285.000
012-02254.000
032-05396.000
251-02643.000
032-01946.001
121-01739.000
251-06270.000
271-00972.000
006-00319.000
010-01055.004
032-06605.000
251-02370.000
024-01773.000
251-03484.000
004-00862.000
251-02917.000
032-04829.007
024-00167.001
032-04441.000
022-00619.000
251-01148.000
012-00730.000
121-00946.000
036-01338.000
006-00393.000
008-00264.000
030-01648.000
030-00444.000
014-01355.000
032-02707.002
261-00077.005
012-00044.000
020-00538.008
032-00548.001
032-00896.000
191-00559.000
251-03991.000
036-00797.002
002-01805.000
032-00865.000
030-00587.000
008-00074.000
014-00840.001
010-00708.001
251-04420.000
032-03483.000
036-01710.000
012-01575.002
030-01229.000
032-02723.002
014-00088.003
030-01208.000
251-04273.005
036-00699.008
002-02133.000
032-03187.022
036-01776.000
036-01271.000
004-02044.000
012-00204.000
251-03784.000
002-01808.000
022-00747.000
004-00178.000
032-02613.001
171-00317.000
022-00065.003
020-00864.000
008-00880.000
032-06033.000
251-04118.000
022-00140.007
008-00194.000
008-00343.003
028-00721.000
028-00691.002
032-06177.000
251-02677.001
010-00415.002
018-00303.000
008-00051.000
018-00561.000
020-00486.000
002-01258.001
028-00158.000
002-02104.000
014-01016.004
004-02270.000
014-01476.000
016-00624.000
024-00502.008
121-01617.000
002-00256.003
030-02570.000
022-01328.000
261-00776.000
002-01180.006
032-02558.004
014-00014.000
251-00961.001
251-06483.000
004-02280.000
111-00843.000
034-00247.000
018-00890.000
014-01436.000
024-00304.000
271-01502.000
016-00783.009
002-01780.000
020-00019.000
036-00296.007
030-01939.000
006-00789.000
012-02247.000
032-04899.000
006-01127.000
022-00930.002
251-02654.000
034-00666.001
010-02328.002
111-01201.000
111-01353.000
012-02459.000
026-01607.000
032-03576.000
012-00424.000
251-03518.000
251-05616.001
251-02899.000
018-00027.002
022-00460.000
008-00464.001
032-03647.000
121-01581.000
032-00798.000
002-00842.000
032-05104.000
022-01132.000
032-06312.000
004-01873.003
012-01411.000
251-00012.001
032-05733.000
018-00171.001
014-00583.000
032-04646.000
010-00337.000
018-00706.000
036-00274.000
022-00046.000
036-00181.004
121-01604.000
251-02550.000
024-01146.025
271-00608.003
010-01440.000
004-01822.001
261-01226.000
018-00572.001
006-01274.000
032-00258.000
008-01156.000
010-00277.000
012-01590.000
032-04477.005
032-04331.000
026-00175.000
002-00660.002
036-01644.001
012-01780.000
271-01529.000
026-01604.000
028-00100.000
016-00736.000
004-00499.000
032-04420.000
010-00637.000
022-01440.000
026-00831.012
014-00928.002
030-00874.000
032-03525.000
032-05466.000
111-01387.003
006-01535.000
022-00192.001
006-00520.000
032-01944.001
032-03997.001
251-05901.000
032-03344.001
261-00419.000
036-01743.000
032-05165.010
032-06884.000
036-00091.000
016-00944.000
030-02184.000
121-01638.000
032-01247.000
251-03544.001
010-00689.000
032-04092.000
271-02186.000
036-00620.001
026-00758.001
036-01732.000
036-01571.002
028-00474.001
004-01185.006
171-00120.002
006-00963.000
034-00886.000
022-00597.000
018-00011.016
251-06553.000
251-01047.000
036-01157.001
251-06216.000
010-00858.000
024-01472.002
020-00731.004
032-04871.000
018-00101.006
024-01348.000
012-02105.001
032-03904.000
034-00422.000
022-00005.000
012-01915.000
030-02049.000
036-01320.032
251-04886.000
261-00788.000
022-01149.000
008-00403.000
251-00164.009
004-02107.000
004-02001.000
006-00047.000
034-00867.000
251-03508.000
032-01685.000
032-02272.001
006-00392.001
036-01913.000
251-03517.001
018-00751.006
002-01765.000
030-01792.003
251-03167.001
030-02280.000
121-01472.000
032-07426.000
022-01053.000
271-00962.000
030-01783.000
032-04350.000
028-00326.017
111-01367.000
251-07096.000
121-00608.000
032-04280.003
271-01548.000
036-00108.001
032-06713.000
012-02218.000
024-00760.002
251-07020.000
018-00755.012
030-01927.000
006-01291.004
271-02183.000
032-03462.000
004-02089.000
020-01015.004
036-01581.001
024-00950.001
271-01207.002
032-03171.010
020-00102.000
032-03192.005
024-00848.007
006-00938.002
014-00036.000
171-00107.002
111-01161.001
251-06118.000
002-01367.000
004-02040.000
034-00396.000
032-05017.000
034-01033.000
016-00545.000
012-02335.002
032-03182.000
026-01159.000
036-00700.007
012-01066.001
024-01440.000
032-06030.000
012-00951.000
012-01539.000
271-01131.000
032-01912.000
032-07396.000
002-01417.000
006-01454.003
018-00137.010
251-04250.000
016-01200.007
032-02920.000
024-01780.001
012-00517.000
271-01889.000
028-00402.001
032-06330.000
026-00225.000
012-01044.002
030-00310.001
036-01294.001
002-01061.000
121-00489.022
012-01039.000
018-00575.000
030-01260.001
030-00623.004
022-01630.000
014-01361.009
002-01345.000
251-02965.000
032-05861.000
010-01893.003
022-00272.000
032-05426.006
251-05150.000
018-00542.002
032-04502.000
034-06016.000
251-03580.000
032-02524.017
026-01266.000
018-00686.000
022-00506.000
024-01872.004
251-04109.002
032-05080.000
251-06340.000
034-01120.006
026-01368.000
022-03526.000
012-01074.000
012-00524.000
022-00647.000
002-01387.000
261-01287.000
010-01116.000
036-01886.000
010-00143.000
024-02471.001
271-01826.000
008-01389.000
012-01213.000
024-01263.000
026-01319.000
111-00597.004
014-00565.002
032-01458.022
006-00497.000
018-00043.012
010-00588.010
030-02597.000
036-00765.000
006-01060.000
004-01575.000
251-06341.000
024-00102.001
026-00856.001
010-00030.000
026-01172.000
022-00063.000
006-01215.000
020-00430.003
030-00840.002
032-01933.000
251-00040.002
010-01036.000
032-02607.000
002-00780.000
004-00691.000
030-01789.003
014-00190.004
004-01493.000
261-00079.005
032-01043.000
024-00940.001
191-01273.000
032-00331.000
032-05700.000
024-01749.000
012-01417.000
006-01081.000
032-03129.002
251-06002.000
028-00390.001
002-00330.000
026-00139.000
028-00505.001
032-05799.000
251-08157.000
030-02096.000
022-00313.000
036-00054.000
022-01457.001
036-01920.000
121-00700.001
251-04508.000
028-00746.002
032-02746.000
251-04696.000
251-04115.001
004-01880.009
032-03102.001
024-02092.000
024-00239.000
004-01965.002
032-06409.000
261-00848.001
010-02215.000
004-02171.000
012-01324.006
251-08179.000
002-01223.000
010-00188.000
006-01409.001
026-00689.000
