022001 164.7-1-25.2
023889 260.-1-17.32
024200 92.-1-42.2
022889 173.1-1-10
026400 76.12-1-40.12
026400 90.10-1-8
022889 172.-1-21
023001 216.15-1-31
022400 289.-1-16.2
026600 225.10-1-5
024001 34.19-1-44
022001 164.15-2-23
025800 26.11-1-27
027400 266.-1-41.5
024600 218.23-1-2
024600 231.-1-5.2
022400 277.-1-56
024600 233.-1-17
027400 265.-2-23
023400 105.-1-100
025800 39.-1-28.13
023289 106.-1-9.4
023201 120.18-2-52
027200 136.-1-32
025800 27.13-1-7
024200 52.1-1-58
026600 237.-1-37.42
022400 262.-1-47.51
022689 139.-1-25.1
027001 238.16-1-7
024200 77.19-1-101.2
026600 212.10-1-5
025200 272.-1-26
023289 106.-1-12
026000 294.8-1-19
022089 163.-3-30.12
023400 105.10-1-80
022200 94.-1-16.1
024600 245.-1-47.2
024801 166.19-3-35
022400 302.-1-41
026200 103.-1-8.32
024200 79.-1-7
024801 166.19-3-12
024889 153.11-1-2
023400 105.9-2-44
024200 52.3-1-24
026400 63.-1-22.2
023400 130.-1-14
024889 193.-1-13.2
022689 126.-1-37.12
024889 168.-1-11.9
026200 101.-1-28.1
027601 247.18-1-34
023889 260.-1-58.1
026400 62.-1-2.9
027001 238.16-3-11
027001 239.5-1-51
026600 199.-3-10.13
027400 291.-1-37.2
022001 164.15-2-54
026000 281.-1-11
027601 247.14-1-13
024600 218.-1-7.14
027400 266.-1-22.1
027689 222.-1-21.2
026400 76.5-1-29
023001 216.10-1-24.22
025600 45.-1-20.37
025600 33.-1-38.2
022689 73.-1-18.62
023289 ROAD
025000 168.-1-1.1
026400 77.6-1-7.3
025600 21.-1-27.6
025800 4.-1-24.23
027089 225.15-1-35
026000 294.8-1-12
024089 61.-1-35.22
022200 80.-1-13.4
022801 172.17-1-1
024400 2.-1-11
025200 284.-1-14.3
024600 218.-1-37.53
022889 160.-1-4.23
026200 116.-1-4.1
026400 63.17-1-30.1
027089 252.19-1-8.2
027400 266.1-1-18
024600 232.6-1-65
027689 247.-1-31
027200 137.-1-15
025800 25.-3-8
025000 168.-1-16
027400 278.-1-63.1
026200 140.-1-21.2
022689 138.-1-27
025600 22.-1-27.2
022001 164.11-1-23
025000 182.-1-71
025000 183.5-1-5
024889 168.-1-4.511
027001 239.14-1-35
027001 238.12-2-27
025000 182.-1-31.1
025200 283.-1-1.3
027689 235.-1-2.22
027001 238.8-3-4
022801 172.18-1-23
022889 185.-1-28.3
023801 260.17-1-7
024801 179.7-4-13
023400 143.-1-2
027001 239.5-1-53.2
022089 164.-1-28.7
023801 260.17-3-45
025200 259.-1-24.12
022889 171.-1-34.2
023801 260.17-4-33.2
026200 140.-1-15
026200 127.-1-33.11
024889 153.13-1-19
025400 42.3-1-18
022089 152.13-1-32
024600 207.-1-11.32
023289 120.-1-29
025400 8.-1-25.115
022689 113.-1-21.111
025400 41.-3-27.1
022089 165.-1-7
024889 153.-1-58.43
022400 301.-1-19
022089 177.-1-29
026400 63.-1-21
026400 75.-1-8.3
025000 182.11-2-61
027089 252.-1-49
026600 199.17-1-43
027689 246.-3-5
023400 117.-1-48
027089 252.15-1-11
025000 183.-1-30
023400 105.9-2-68
026600 236.-1-13.13
026400 50.-1-35.7
022601 126.11-1-25
024600 219.-2-14
025800 27.-1-17
027400 265.7-2-41.2
026000 280.-3-19.32
026200 103.-1-31
024889 194.-1-1.4
022400 262.6-1-77
023089 215.-1-26
023400 104.-1-27
025400 29.-1-56.1
027089 227.10-1-1
026200 127.-1-22.2
027089 239.8-1-67
025800 27.13-2-38.1
022889 158.-1-19
022801 172.9-1-85
026400 90.10-1-75
025200 259.-1-31.35
026400 90.-1-7
022089 189.-3-9.11
024001 34.16-2-13.4
024001 34.20-1-6.2
027089 238.6-1-21
022801 171.16-2-46
024889 166.-1-53
025200 271.-1-6.2
024200 77.19-1-53
027001 239.14-1-39
027400 265.2-1-6.1
