05250_013020D03000
05250_016A013011000
05250_013014000000
05250_006005000000
05250_059025000000
05250_006012C01000
05250_037001000000
05250_007001000000
05250_029076000000
05250_011016000000
05250_006025006000
05250_010036G05D
05250_037003A  000
05250_006036B01000
05250_020018000000
05250_051030000000
05250_019B060000000
05250_076018000000
05250_011056A  000
05250_009042007000
05250_080011000000
05250_015037005000
05250_015056D  000
05250_082033000000
05250_010036005D
05250_051057000000
05250_081041000000
05250_015D016041000
05250_049056000000
05250_077020000000
05250_019B078000000
05250_014022008000
05250_027001A02000
05250_022A008007000
05250_081020000000
05250_011028G02000
05250_055017000000
05250_054030000000
05250_014023000000
05250_006036000000
05250_009088D  000
05250_081070000000
05250_027059B  000
05250_051085000000
05250_020011D  000
05250_079024000000
05250_069001A  000
05250_082041000000
05250_019095002000
05250_062025A  000
05250_019086000000
05250_006042005000
05250_019C050000000
05250_024001000000
05250_079048000000
05250_022011000000
05250_030080000000
05250_020041B02000
05250_015D016049000
05250_063019000000
05250_010050B01000
05250_016A031004000
05250_054002000000
05250_009069000000
05250_018035000000
05250_009048C04000
05250_013018A01000
05250_051049000000
05250_011042B01000
05250_039004000000
05250_058016000000
05250_039018000000
05250_067016000000
05250_082029000000
05250_03A050001000
05250_030A059F  000
05250_056010A  000
05250_053024000000
05250_023007079000
05250_065036B04000
05250_011033E05000
05250_019B068000000
05250_013044A  000
05250_023007058000
05250_050016B  000
05250_069006000000
05250_056004000000
05250_011B035000000
05250_039008000000
05250_015C008C01000
05250_049015000000
05250_011028000000
05250_073014000000
05250_074007000000
05250_027060000000
05250_007055A  000
05250_016B018000000
05250_019C021006000
05250_035010A  000
05250_019048000000
05250_032050000000
05250_014008001000
05250_011029C  000
05250_009047000000
05250_022A008011000
05250_016B008000000
05250_074A013000000
05250_082031000000
05250_022A009001000
05250_004009A  000
05250_015D017A02000
05250_010036G02000
05250_039003000000
05250_012B075008000
05250_016033A  000
05250_011030000000
05250_015003003000
05250_081011000000
05250_02A002B03000
05250_049038000000
05250_023007086000
05250_074A033000000
05250_082052000000
05250_020039C  000
05250_080004000000
05250_020033A  000
05250_012B075001D
05250_015C023D  000
05250_010001D  000
05250_007048A01000
05250_019008B  000
05250_014004B  000
05250_015C023001000
05250_016B026B  000
05250_018031C  000
05250_021004C  000
05250_031042000000
05250_042010000000
05250_022020001000
05250_032068000000
05250_011060B  000
05250_008015000000
05250_012038A  000
05250_008022A  000
05250_005017001000
05250_023007008000
05250_054051000000
05250_012024B01000
05250_025015000000
05250_007041C02000
05250_081033000000
05250_006053000000
05250_011033005000
05250_051019000000
05250_057063000000
05250_040010A04000
05250_073005000000
05250_006026C  000
05250_012020006000
05250_012078D  000
05250_019C029000000
05250_021024C  000
05250_017025001000
05250_015047000000
05250_015030000000
05250_013043A  000
05250_058019000000
05250_037004000000
05250_006039007000
05250_016A031002001
05250_016036002000
05250_052020B  000
05250_019A016000000
05250_007049000000
05250_019001000000
05250_010036K04016
05250_015B011001000
05250_079003000000
05250_012030A01000
05250_005014E  000
05250_073022000000
05250_081017000000
05250_048029001000
05250_014010D  000
05250_014005C  000
05250_053014000000
05250_016A012A05000
05250_081040000000
05250_010055B02000
05250_015B020A  000
05250_08C020000000
05250_023007014000
05250_068019D  000
05250_035042000000
05250_055042000000
05250_031059000000
05250_006032E  000
05250_006025008000
05250_010062B  000
05250_010A024006000
05250_015027A01000
05250_015033000000
05250_013030000000
05250_022014009000
05250_012030012000
05250_038049D  000
05250_027001A06000
05250_068012000000
05250_015C022D01000
05250_014022B  000
05250_003046B01000
05250_019A064000000
05250_019B118000000
05250_015037001B
05250_013019A  000
05250_021028A02B
05250_006039008000
05250_021005E04000
05250_080064A  000
05250_006032000000
05250_036018001000
05250_004005000000
05250_045040B  000
05250_020011C  000
05250_003025001000
05250_031012B  000
05250_013018B  000
05250_008022A01000
05250_039030B  000
05250_059036000000
05250_009048C02001
05250_050012001000
05250_031080000000
05250_028011000000
05250_062026000000
05250_015043B05000
05250_002024000000
05250_012035000000
05250_011A041000000
05250_012B075005C01
05250_005033000000
05250_019B028000000
05250_010036003000
05250_039015000000
05250_059001000000
05250_064022000000
05250_036008000000
05250_030086000000
05250_055070000000
05250_010059A  000
05250_006033D  000
05250_022007A  000
05250_029036000000
