05080_019077B  000
05080_010019000000
05080_017025001000
05080_017037F  000
05080_026022000000
05080_025041B  009
05080_017033F  000
05080_025038000000
05080_025058001000
05080_022006020000
05080_017034006000
05080_023020A  000
05080_003028ETC000
05080_020088000000
05080_018049000000
05080_025010001000
05080_010021000000
05080_028023000000
05080_018105000000
05080_022002000000
05080_022006015000
05080_013086000000
05080_025043A  000
05080_021040001000
05080_021038000000
05080_017009000000
05080_023019008000
05080_018090D  001
05080_001016B  000
05080_020075E  000
05080_017039A  000
05080_013026000000
05080_018047000000
05080_002023000000
05080_018021000000
05080_014003A  000
05080_023045000000
05080_026034000000
05080_029012000000
05080_020068000000
05080_021015001000
05080_018039D  000
05080_012030C  000
05080_014006000000
05080_021027001000
05080_017029008000
05080_022006016000
05080_021097D  ETC
05080_002088000000
05080_023081000000
05080_030006M  000
05080_020002004000
05080_021077002000
05080_008009000000
05080_021088F  000
05080_011013000000
05080_025004000000
05080_025041A 000
05080_011092000000
05080_017092D  000
05080_020082000000
05080_021075004000
05080_020038000000
05080_011092A  000
05080_025057000000
05080_003010K  000
05080_017076A  000
05080_017015000000
05080_001018000000
05080_005120000000
05080_017023D  000
05080_018077000000
05080_027009RST000
05080_021095A  000
05080_021070E  000
05080_017057000000
05080_017029003000
05080_026003B  004
05080_026070000000
05080_022068000000
05080_011110000000
05080_025042002000
05080_018021001000
05080_019073003000
05080_025010B  000
05080_021063G  000
05080_011120000000
05080_018069000000
05080_016010000000
05080_001027000000
05080_023024A  007
05080_001013000000
05080_010009000000
05080_017014A  001
05080_021057D  000
05080_002016ETC000
05080_017071A  000
05080_018096000000
05080_024048A  000
05080_026007A  005
05080_025045000000
05080_017011004000
05080_023046000000
05080_019067000000
05080_019059A  000
05080_015002000000
05080_018026000000
05080_005010000000
05080_019009000000
05080_019062000000
05080_015006006000
05080_018075000000
05080_020013000000
05080_009021000000
05080_025059A  000
05080_017061E  000
05080_023024A  014
05080_021073F  000
05080_020078000000
05080_022007B  011
05080_009001000000
05080_020060007000
05080_021091001000
05080_021019002000
05080_020077000000
05080_019010000000
05080_018017000000
05080_005121000000
05080_013099000000
05080_021069000000
05080_009030000000
05080_021013C  000
05080_008004000000
05080_005021000000
05080_021073C  000
05080_021024C  000
05080_019022000000
05080_025031000000
05080_012049000000
05080_006012000000
05080_021046000000
05080_021009A  000
05080_017025004000
05080_017079D  000
05080_026036000000
05080_023021000000
05080_017060B  000
05080_017013C  000
05080_025035000000
05080_017088A  000
05080_017001000000
05080_017092000000
05080_017062000000
05080_025042001000
05080_026012010000
05080_020074A  000
05080_017081000000
05080_012041000000
05080_013048000000
05080_020009000000
05080_022017B  000
05080_025061D  000
05080_020037C  000
05080_018034D  004
05080_010001000000
05080_030038000000
05080_017079A  000
05080_021059D  000
05080_011077000000
05080_017074000000
05080_019081000000
05080_019020002000
05080_002087000000
05080_023019005000
05080_025002000000
05080_018070000000
05080_023013A  000
05080_019073012000
05080_026002009000
05080_022006013000
05080_018062006000
05080_003010E  000
05080_004008000000
05080_021068000000
05080_012008ETC000
05080_021023B  000
05080_019057B  000
05080_011082000000
05080_022071A  000
05080_018037000000
05080_013014000000
05080_027009A  000
05080_013088000000
05080_017031000000
05080_017050A  000
05080_021035A  000
05080_027009V  000
05080_24A002ETC000
05080_020013A  000
05080_019079000000
05080_030008E  000
05080_021068A  000
05080_020034000000
05080_019030004000
05080_021041000000
05080_018086000000
05080_021080A  000
05080_005078000000
05080_018070020000
05080_016011A  000
05080_020052015000
05080_011021000000
05080_025060002000
05080_011121000000
05080_020084C  000
05080_022056003A
05080_017041000000
05080_021097B  000
05080_019076A  000
05080_025010003000
05080_025027B  000
05080_021059F  000
05080_022008000000
05080_022006011000
05080_017087D  000
05080_023083I  000
05080_022001A  000
05080_012022000000
05080_027001C  000
05080_017061L  000
05080_018042E  000
05080_011065000000
05080_018113000000
05080_026020000000
05080_021096A  000
05080_022022E  000
05080_017004B  000
05080_022007000000
05080_022053A  000
05080_021087A  000
05080_019073017000
05080_025011000000
05080_020052009000
05080_023041008000
05080_022031A  000
05080_5A 045ETC000
05080_018049F  000
05080_021045002000
05080_020070001000
05080_011056000000
05080_022003000000
05080_021087D  000
05080_24A005ETC000
05080_019077000000
05080_027033J  000
05080_021058000000
05080_022062000000
05080_5A 077000000
05080_018070005000
05080_018070027000
05080_020002001000
05080_026022B  006
05080_018050A  000
05080_019020000CM3
05080_018090G  000
05080_018003000000
05080_014014000000
05080_023087004000
05080_017055002000
05080_023059B  000
05080_022031D  000
05080_019013002000
05080_001022000000
05080_023011000000
05080_017051B  000
05080_006004000000
05080_022057002000
05080_022041A  000
05080_026007A  006
05080_021001B  000
05080_017016B  000
05080_011090000000
05080_001016C  000
05080_019011000000
05080_5A 071000000
05080_005050000000
05080_025059004000
05080_017034001000
05080_023096000000
05080_025041B  007
05080_021052D  000
05080_023002000000
05080_022007B  014
05080_019073020000
05080_5A 070000000
05080_019073001000
05080_012032000000
05080_004009000000
05080_019065009000
05080_017050F  000
05080_012033000000
05080_013095A  000
05080_025058A  000
05080_004010000000
05080_018039A  000
05080_028021A  000
05080_016013000000
05080_019024007000
05080_017088D  000
05080_019071000000
05080_015004000000
05080_019073011000
05080_012028000000
05080_020053D  000
05080_018062B  000
05080_025059002000
05080_017078000000
05080_002011000000
05080_019025002000
05080_013029000000
05080_025061C  000
05080_012033A  000
05080_022062A  000
05080_019038000000
05080_011053000000
05080_018012A  000
05080_021075003000
05080_018076000000
05080_019073025000
05080_021042E  000
05080_013037000000
05080_023055000000
05080_030056000000
05080_020042000000
05080_011125A  000
05080_018060000000
05080_010013B  000
05080_013019000000
05080_018057D  000
05080_017014A  000
05080_017079F  000
05080_021001H  000
05080_011048000000
05080_019025A  000
05080_002002A  ETC
05080_013051000000
05080_018051000000
05080_0090120000000
05080_018090J  000
05080_017039000000
05080_002065000000
05080_005072000000
05080_026012006000
05080_005128E  000
05080_013083A  000
05080_019030003000
05080_008012000000
05080_023007000000
05080_011129000000
05080_013023000000
05080_018017E  000
05080_019020000CM1
05080_002089000000
05080_015017000000
05080_024077C  000
05080_029025000000
05080_002030A  000
05080_019073030000
05080_013058000000
05080_24A028B  000
05080_021020C  000
05080_018039000000
05080_018091000000
05080_018019000000
05080_025058000000
05080_030009M  000
05080_020062000000
05080_021015005000
05080_019071A  000
05080_016004000000
05080_022060C  000
05080_018089B  000
05080_020060003000
05080_021034F  000
05080_023041020000
05080_005031000000
05080_013022A  001
05080_019036C  000
05080_017056000000
05080_011051004000
05080_013034000000
05080_020060002000
05080_018044000000
05080_001016A  000
05080_019062A  000
05080_020072000000
05080_018099001000
05080_005130000000
05080_021043B  000
05080_023031000000
05080_027008000000
05080_018062007000
05080_026021B  000
05080_021015004002
05080_020084C  001
05080_018110000000
05080_021073A  000
05080_021026A  000
05080_011080000000
05080_023005000000
05080_002075000000
05080_022013H  000
05080_017051A  000
05080_020004000000
05080_009030A  000
05080_022058007000
05080_021088000000
05080_017023C  000
05080_5A 017000000
05080_5A 020000000
05080_023024001B
05080_027009G  000
05080_025010017000
05080_017034019000
05080_023038000000
05080_029016000000
05080_019065001000
05080_019007004000
05080_020068A  000
05080_021025B  000
05080_012025000000
05080_002014000000
05080_025022A  000
05080_017046B  000
05080_017033B  000
05080_027009X  000
05080_005018ETC000
05080_021095000000
05080_021029C  000
05080_022016006000
05080_021035000000
05080_019053B  000
05080_013053A  000
05080_019080000000
05080_025010009000
05080_019046000000
05080_018024000000
05080_018055H  000
05080_024071B  000
05080_017034003000
05080_024056000000
05080_026012003000
05080_022013D  000
05080_003024000000
05080_022007B  006
05080_022006019000
05080_020052005000
05080_022063A  000
05080_020082B  000
05080_021065000000
05080_021091C  000
05080_005037ETC000
05080_020017B  000
05080_019035000000
05080_021012B  000
05080_022062C  003
05080_005022000000
05080_017034000000
05080_019024001000
05080_5A 049000000
05080_002083000000
05080_013046000000
05080_017078B  000
05080_018048000000
05080_015003B  000
05080_5A 019A  000
05080_019076I  000
05080_011133000000
05080_005020000000
05080_003005000000
05080_025054000000
05080_018014000000
05080_020082C  000
05080_005079A  ETC
05080_022021D  000
05080_021034D  ETC
05080_017043001000
05080_5A 044000000
05080_026003002000
05080_012045000000
05080_028005001000
05080_028016000000
05080_021001E  000
05080_021007000000
05080_018055B  000
05080_5A 015000000
05080_5A 021000000
05080_018066000000
05080_025041B  011
05080_018054A  000
05080_025008003000
05080_026061000000
05080_021088003000
05080_008023000000
05080_023088000000
05080_003001000000
05080_011084000000
05080_023093000000
05080_026051C  000
05080_026017B  000
05080_025013000000
05080_018051B  000
05080_019014A  000
05080_017050C  000
05080_023022001000
05080_026021A  000
05080_003010B  000
05080_005043ETC000
05080_020021A  000
05080_019068000000
05080_025010008000
05080_019033A  000
05080_027009Y  000
05080_021087000000
05080_017088000000
05080_015010000000
05080_023024A  006
05080_005079000000
05080_013059000000
05080_021055B  000
05080_019063C  000
05080_023050000000
05080_023011A  000
05080_020027000000
05080_002062000000
05080_022077B  000
05080_025042003000
05080_025060000000
05080_025010002000
05080_019069000000
05080_023024A  010
05080_025041B  014
05080_022072000000
05080_005122000000
05080_002073000000
05080_021051000000
05080_009002B  000
05080_001016E  000
05080_021077001000
05080_017094000000
05080_013056000000
05080_013048A  000
05080_020052016000
05080_017033000000
05080_013076000000
05080_018083000000
05080_022006003000
05080_026013C  004
05080_018049T  000
05080_021001I  000
05080_025061H  000
05080_030007E  000
05080_019005000000
05080_025061A  ETC
05080_005058000000
05080_019007000000
05080_5A 034A  000
05080_021066A  002
05080_021083A  000
05080_025059003000
05080_021091000000
05080_019037000000
05080_017063D  000
05080_018002D  000
05080_020080A  000
05080_018062002000
05080_013022A  000
05080_009004000000
05080_022022A  000
05080_017029010000
05080_003014A  000
05080_019020007000
05080_017059001000
05080_026008001000
05080_030011E  000
05080_019067C  000
05080_022011000000
05080_013092000000
05080_005009000000
05080_026040000000
05080_023031C  000
05080_022046000000
05080_021055G  000
05080_012052000000
05080_014015000000
05080_019016000000
05080_021073A  007
05080_021015E  000
05080_001019000000
05080_009031000000
05080_022056C  000
05080_017033D  001
05080_5A 024000000
05080_017034026000
05080_022058002000
05080_019065A  000
05080_018057H  000
05080_015006005000
05080_017085001000
05080_021091F  000
05080_027009K  000
05080_002051000000
05080_023041012000
05080_005088000000
05080_020061000000
05080_025008002000
05080_005091C  000
05080_019031A  000
05080_026001000000
05080_017015D  000
05080_016005000000
05080_021029000000
05080_002026000000
05080_009022000000
05080_005054000000
05080_002048000000
05080_011098000000
05080_028014C  000
05080_021054000000
05080_025041B  013
05080_026051B  000
05080_028017000000
05080_021026B  000
05080_022057003000
05080_026023A  000
05080_018049Q  000
05080_026003D  000
05080_002044ETC000
05080_029007000000
05080_022052000000
05080_009027000000
05080_018049O  000
05080_017004C  000
05080_020053A  000
05080_017030000000
05080_019073026000
05080_019050000000
05080_018002B  000
05080_019006000000
05080_5A 029A  000
05080_023076B  002
05080_027009H  000
05080_018070018000
05080_026022B  000
05080_015012A  000
05080_021015G  000
05080_020017000000
05080_023082A  000
05080_021015000000
05080_024069000000
05080_017034015000
05080_023080C  000
05080_013024000000
05080_030036000000
05080_021021000000
05080_022014000000
05080_015005B  000
05080_009006D  000
05080_022034000000
05080_023041022000
05080_017024A  000
05080_022033000000
05080_020001D  000
05080_017077A  000
05080_018003A  000
05080_025012000000
05080_029031001000
05080_017037A  000
05080_018012004000
05080_027009Q  000
05080_020080000000
05080_013022000000
05080_017094A  000
05080_017044A  000
05080_021093000000
05080_025061J  000
05080_018034A  000
05080_020054000000
05080_028014B  000
05080_018017D  000
05080_020035000000
05080_025022G  000
05080_006001000000
05080_003010M  000
05080_017028B  000
05080_020030B  000
05080_020071000000
05080_022004000000
05080_020052000000
05080_029031000000
05080_021078000000
05080_021036000000
05080_012001000000
05080_015006008000
05080_005025000000
05080_011075000000
05080_011032001000
05080_026013A  002
05080_021005000000
05080_027006000000
05080_020075D  000
05080_021015D  000
05080_023028000000
05080_005082000000
05080_005024000000
05080_025010A  000
05080_026013A  004
05080_025043000000
05080_019073021000
05080_24A019000000
05080_006021000000
05080_023081001000
05080_021076000000
05080_023041006000
05080_016011000000
05080_017061K  000
05080_020076A  000
05080_006015000000
05080_022058004000
05080_019073022000
05080_024045B  000
05080_011029000000
05080_023017A  000
05080_018049K  000
05080_022018000000
05080_017034007000
05080_027009C  000
05080_023019006000
05080_030057000000
05080_026013C  005
05080_025032A  000
05080_026013C  007
05080_013008000000
05080_017068B  000
05080_023033000000
05080_027003F  000
05080_019045000000
05080_011025000000
05080_018012000000
05080_020062C  000
05080_026047000000
05080_017083000003
05080_015012001000
05080_012038A  001
05080_017037D  000
05080_021088002000
05080_013090000000
05080_029006000000
05080_002002000000
05080_005060000000
05080_021039000000
05080_024068000000
05080_017033A  000
05080_021077011000
05080_021022B  000
05080_026015000000
05080_016020000000
05080_022007B  016
05080_003043000000
05080_016013A  000
05080_018099000000
05080_24A028C  000
05080_005035000000
05080_018034D  CM1
05080_021069006000
05080_023095000000
05080_018042I  000
05080_018049M  001
05080_024055000000
