23070_R03-019-00
23070_U02-083-00
23070_U02-011-00
23070_R03-064-00
23070_R01-011-02-11
23070_U15-011-00
23070_U17-017-00
23070_R01-002-00
23070_R01-004-00
23070_R09-041-00
23070_U06-003-00
23070_R09-022-00
23070_U08-022-00
23070_R02-046-00
23070_R05-060-0A
23070_U02-108-00
23070_U08-029-00
23070_R03-057-02
23070_U16-013-00
23070_R06-052-00
23070_R01-054-01
23070_R02-039-02
23070_R05-026-11
23070_U08-031-00
23070_R06-050-01
23070_R06-051-00
23070_R02-053-16
23070_R04-060-12
23070_U08-034-00
23070_U02-062-00
23070_U01-037-00
23070_U01-036-00
23070_U02-060-00
23070_R02-054-31
23070_R09-019-02
23070_R08-036-122
23070_R03-033-05
23070_U18-010-00
23070_R02-053-13
23070_R04-060-02
23070_U01-071-00
23070_R02-035-02
23070_R05-005-00
23070_R07-018-00
23070_R05-049-00
23070_U08-001-00
23070_R09-016-03
23070_R03-036-64
23070_U01-095-00
23070_R06-021-00
23070_R02-014-01
23070_R06-013-03
23070_U18-014-00
23070_R07-038-00
23070_R03-009-00
23070_R04-008-01
23070_R02-034-00
23070_U01-059-00
23070_U07-034-00
23070_R09-006-01
23070_U01-142-00
23070_R04-025-00
23070_R01-070-07
23070_R05-062-05
23070_R04-023-07
23070_R02-013-00
23070_R08-001-00
23070_R01-054-11
23070_U16-010-00
23070_U04-010-00
23070_R06-065-00
23070_R07-013-11
23070_R08-002-00
23070_R03-002-00
23070_U05-003-05
23070_R05-041-00
23070_R02-058-00
23070_R05-025-0B
23070_U07-031-00
23070_R06-036-00
23070_U02-007-00
23070_R08-008-01
23070_R02-005-05
23070_U15-005-01
23070_R01-076-00
23070_R08-005-00
23070_U07-035-01
23070_R02-038-01
23070_R02-010-00
23070_R02-042-01
23070_U16-001-01
23070_U07-002-00
23070_U03-052-00
23070_R04-005-01
23070_R04-052-23
23070_R08-036-121
23070_R08-030-01
23070_U02-161-00
23070_R02-032-02
23070_R01-039-01
23070_R09-022-08
23070_U02-036-00
23070_R06-062-00
23070_U02-037-00
23070_R04-052-01
23070_U13-002-00
23070_U01-040-00
23070_U02-077-00
23070_R02-005-06
23070_U01-055-00
23070_R01-042-00
23070_R01-070-03
23070_U01-146-01
23070_R02-037-00
23070_U01-063-00
23070_R02-067-00
23070_R03-023-06
23070_U02-140-00
23070_R07-048-00
23070_U02-118-00
23070_U15-005-00
23070_U02-046-01
23070_U17-016-00
23070_R09-008-00
23070_R06-027-00
23070_U01-090-00
23070_R08-016-00
23070_R02-020-00
23070_R03-066-00
23070_R09-022-07
23070_R06-041-00
23070_R09-016-06
23070_U04-017-00
23070_R06-054-00
23070_R02-039-00
23070_R05-067-01
23070_U08-020-00
23070_U18-009-00
23070_R08-021-01
23070_R01-033-12
23070_R08-021-03
23070_R08-011-02
23070_R04-023-05
23070_R02-054-03
23070_R02-005-52
23070_U15-007-00
23070_R04-022-00
23070_R04-053-02
23070_U12-006-06
23070_R09-025-01
23070_R02-035-00
23070_R07-043-00
23070_U01-113-00
23070_R07-026-00
23070_U07-027-00
23070_R01-065-00
23070_U16-011-01
23070_U01-126-00
23070_R02-031-00
23070_R05-067-05
23070_U02-106-00
23070_U01-023-00
23070_R05-066-00
23070_R06-064-00
23070_R03-050-00
23070_R02-015-00
23070_R02-065-00
23070_R01-059-00
23070_U16-008-00
23070_U18-019-00
23070_U02-053-00
23070_R07-039-00
23070_U01-098-00
23070_R05-025-06
23070_U02-096-00
23070_U05-006-00
23070_U12-006-04
23070_R04-031-12
23070_U13-008-05-01
23070_U02-158-00
23070_U01-080-00
23070_U16-003-00
23070_R06-012-00
23070_U02-058-00
23070_R09-022-05
23070_R02-054-02
23070_R03-025-01
23070_R03-045-00
23070_R05-047-00
23070_U16-003-01
23070_U15-001-00
23070_U02-156-00
23070_R06-037-00
23070_R02-052-02
23070_U02-015-00
23070_R05-065-00
23070_R06-063-00
23070_R04-053-05
23070_U12-005-00
23070_R08-011-03
23070_R04-010-01-07
23070_U14-004-01
23070_R07-020-01
23070_U05-007-00
23070_R01-072-01
23070_R05-019-00
23070_R05-024-02
23070_U02-070-00
23070_R02-031-01
23070_R02-054-01
23070_U01-029-00
23070_R06-057-00
23070_R01-033-23
23070_U02-078-01
23070_R05-025-0A
23070_U02-173-00
23070_U03-055-00
23070_U01-079-00
23070_R07-002-01
23070_R02-036-00
23070_U02-022-00
23070_R05-062-00
23070_R04-028-01
23070_U06-007-00
23070_U03-016-00
23070_U01-099-00
23070_R01-058-02
23070_R08-009-11
23070_U17-013-00
23070_R07-009-01
23070_R01-061-00
23070_R09-030-00
23070_R06-059-03
23070_R01-046-01
23070_R04-036-01
23070_U01-109-00
23070_U02-006-00
23070_R01-033-14
23070_U01-014-00
23070_R05-011-00
23070_R04-031-02
