31230_G28-11B
31230_R24-44A
31230_R13-13-10
31230_R21A-66
31230_J34-30
31230_K21-13
31230_R5-44
31230_I23-9B
31230_R24-46
31230_R21-3
31230_R22D-18B-10
31230_K13-19
31230_R11C-7
31230_I28-71B
31230_J17-8A
31230_L27-4
31230_R21A-83
31230_H26-12A
31230_R16A-80
31230_I14-13
31230_R19-45A
31230_H31-1B
31230_L31-18
31230_R12K-9
31230_L26-55
31230_R2-61A
31230_G17-5
31230_I16-7
31230_R1-15A
31230_L33-26
31230_R1-26
31230_R14B-17
31230_R19A-48
31230_M29-66
31230_R17-26
31230_K37A-37
31230_R19-23C
31230_J33-6
31230_R21A-84
31230_R8-12
31230_L17-28
31230_R2-9
31230_J37-33
31230_J23-8
31230_H26-1B
31230_L27-43
31230_K19-46A
31230_J31-10
31230_R12C-11
31230_R8-33
31230_J32-20
31230_J38-19
31230_K18-12
31230_R6-68
31230_J14-10
31230_R11-40D
31230_R2-307
31230_R22C-24-2
31230_R8-13
31230_R11B-27
31230_K17-10
31230_R15-58A
31230_R17-20
31230_M34-112
31230_M34-3
31230_J24-7
31230_L33-18
31230_J31-2
31230_K32-54
31230_R11-22A
31230_J28-36
31230_R4-14A
31230_G31-21
31230_G30-8
31230_R12G-20
31230_F31-1
31230_I29-15
31230_J30-9
31230_J37-14
31230_J33-26
31230_R16A-91
31230_R12-46G
31230_R14C-21
31230_R1-6E
31230_R20-5C
31230_R19-10
31230_L20-31
31230_R11-75
31230_K34-34A
31230_J32-15
31230_K14-14A
31230_R19-12B
31230_K14-32
31230_I27-45
31230_K20-45E
31230_K21-28K
31230_I27-23
31230_G31-36
31230_I14-1
31230_J27-22
31230_R12K-15
31230_K27-13
31230_R19-10B
31230_R23-19
31230_L33-18A
31230_R5-34
31230_J31-66
31230_R9-54G
31230_K38-6
31230_R22-51-2
31230_R3-15
31230_R12H-9
31230_R17A-42A
31230_R18-1
31230_R10-6A
31230_I25-81
31230_L16-16
31230_M28-15A
31230_K30-1
31230_R22-18C
31230_R19-205
31230_M32-18-2
31230_K37A-14
31230_R22B-3
31230_R19A-117
31230_R18-15G
31230_K19-6
31230_G31-9
31230_R22-9-2
31230_R19B-33-5
31230_M29-47
31230_J29-17F
31230_I30-4
31230_J31-46A
31230_J30-1
31230_R8-4
31230_I28-78
31230_L31-32
31230_R19-18A
31230_R2-601
31230_J16-27
31230_I24-4
31230_R12-17C
31230_L31-16
31230_I26-28C-2
31230_K28-19
31230_R19A-14
31230_J28-8
31230_R6-46C-4
31230_R16A-25
31230_I19-3D
31230_R12-87
31230_R18-11C
31230_R12-36
31230_K34-1
31230_R18B-12
31230_J32-55
31230_M31-14A-6
31230_I25-32
31230_J31-37
31230_R1-6F
31230_R16A-48
31230_R21-52
31230_K37A-35
31230_H30-32
31230_R2-602
31230_R18-35
31230_L15-112
31230_J19-5A
31230_R12A-3
31230_R19A-6
31230_M29-36A
31230_J28-7
31230_R19-74
31230_M16-14
31230_R10-1B
31230_L27-41
31230_R17-11
31230_I18-12A
31230_R11-84
31230_R12D-27
31230_R19-119
31230_R12K-16
31230_I29-43
31230_R6-48
31230_I15-6
31230_G29-2B
31230_R13E-1
31230_R7-103
31230_M33-4
31230_R22-5A
31230_K13-2
31230_R21A-69
31230_K21-27A
31230_I29-70
31230_K33-50
31230_R7-101
31230_J36-13C
31230_K17-32
31230_R2-11
31230_M28-34
31230_R20-21
31230_R4-3
31230_I28-97
31230_N29-3
31230_J31-63
31230_K28-36
31230_R13-6
31230_R8-5B
31230_R8-84
31230_R5-35
31230_K29-63
31230_K32-42
31230_J35-7
31230_L15-17
31230_R15-111
31230_M33-101
31230_K27-45
31230_K32-27
31230_L23-7
31230_G31-56
31230_K33-22
31230_R22B-13
31230_R4-6B
31230_R14D-9
31230_L23-4
31230_K27-7
31230_L31-6
31230_R9-10C
31230_R8-11C
31230_K17-26
31230_R11-25D
31230_R7-24D
31230_R15-59A
31230_R12-28
31230_J35-4
31230_J16-34
31230_R25A-1
31230_R22B-6
31230_R2-79
31230_R12G-36
31230_K20-48
31230_J26-17
31230_J15-6
31230_J31-43
31230_M29-59
31230_R15-106
31230_R15A-152
31230_R21-39I
31230_R22-21C
31230_L26-4
31230_R18-12
31230_J15-15
31230_L36-5
31230_R6-31A
31230_R24A-32
31230_R7-25
31230_R15B-5
31230_K35-23
31230_R18A-3
31230_J32-4
31230_R11-56A
31230_L30-22
31230_I16-26
31230_R2-62A
31230_R9-54
31230_L33-42
31230_R19A-115
31230_R13-13-4
31230_R17-2A
31230_R9-52
31230_R14-30C
31230_R15-120B
31230_L14-2
31230_R11B-25
31230_K27-12
31230_J34-46
31230_J38A-28
31230_K14-10
31230_J31-85
31230_L30-26
31230_M31-1
31230_L37-4
31230_K19-27
31230_M28-29A
31230_J24-5
31230_R12-17A
31230_R21-23
31230_G32-22
31230_K28-15
31230_R1-13D
31230_R11-94
31230_L23-6
31230_R19A-74
31230_H27-23
31230_R2-10
31230_K31-26A
31230_J37-3
31230_R25-1C
31230_R11-95
31230_R11C-1
31230_R1-6C
31230_J33-49
31230_J27-2
31230_L31-7
31230_R2-41B
31230_L25-11A
31230_R2-68
31230_R9-19A
31230_R19A-152
31230_R16A-7
31230_J16-56
31230_R16A-1
31230_R9A-16
31230_H26-10
31230_R15-108
31230_R21A-25A
31230_G31-39
31230_L26-42
31230_R10-6-2
31230_J32-36
31230_I25-12
31230_L14-22A
31230_R12B-28
31230_R5-12B
31230_L31-33
31230_J16-37
31230_J39-10
31230_R21-46
31230_J19-12
31230_J14-26
31230_R2-95
31230_J29-17
31230_R16A-57
31230_R25B-14
31230_R13F-2-2
31230_R19A-90
31230_R2-208
31230_R16-3
31230_R8-26
31230_J32-11
31230_R25-20
31230_R5-2B
31230_R11A-61
31230_R5A-19
31230_F28-17
31230_R21-39Q
31230_G31-47
31230_K36-71
31230_R9-46
31230_K28-40
31230_H29-18
31230_J16-48
31230_R19A-130
31230_J30-10
31230_I31-8
31230_G30-5
31230_L19-18
31230_R11-28B
31230_R21A-70
31230_K28-51A
31230_R24-46A
31230_M28-7A
31230_K36-69
31230_J38-9A
31230_R17-15
31230_L15-101
31230_R12A-2
31230_H34-4
31230_R18A-4-3
31230_R11B-100
31230_L26-52
31230_G28-24A
31230_I25-72
31230_I27-1
31230_I29-38
31230_L16-2
31230_R22-33
31230_L30-6
31230_M32-9
31230_K14-10A
31230_J33-12
31230_R4-23
31230_L26-24
31230_R17A-43
31230_R18A-20A
31230_L27-3
31230_R8-88
31230_R16B-13
31230_R22C-24-1
31230_R19A-146
31230_K17-41
31230_J14-4
31230_L27-64
31230_I37-8
31230_R9-31B
31230_R12G-21
31230_M28-20
31230_R22C-24-6
31230_R12A-7
31230_J33-32
31230_R5-53D
31230_K33-1
31230_K32-28
31230_M26-10
31230_J32-87
31230_K30-55
31230_R3-29H-4
31230_R14-4A
31230_R11C-46
31230_R13D-101
31230_J25-7
31230_J13-33
31230_R9-31
31230_R25-1B-7
31230_L25-34
31230_R19A-108
31230_R8A-13
31230_R16-9J
31230_J34-38
31230_K18-19
31230_R22-9D
31230_H27-22
31230_K36-22
31230_R4-27
31230_I28-27
31230_R8A-5
31230_K27-34
31230_L29-13
31230_R16A-45
31230_R20-1A
31230_R15A-121
31230_H28-18C
31230_J13-37
31230_J33-13
31230_R22-26
31230_R11-19
31230_K15-8
31230_K19-62
31230_R5-22
31230_R6-40
31230_R22A-2
31230_G30-3A
31230_R21A-52
31230_R9-6D
31230_G32-17
31230_R19A-112
31230_J33-18
31230_R13D-1
31230_R9-32
31230_K25-9
31230_R2-41
31230_L26-36
31230_K28-3
31230_R14-2G
31230_K26-13
31230_R5-53
31230_J32-30
31230_R15-24C
31230_R8-16
31230_R22-34C
31230_R13D-107
31230_R16-5Q
31230_R2-5A
31230_R11-101
31230_R7-36
31230_R14-52
31230_R12B-27
31230_R18-7
31230_R12G-10
31230_L19A-1-5
31230_R15-21D
31230_M26-5
31230_J14-28
31230_I24-12A
31230_M29-30
31230_R6-41J
31230_R12-61A
31230_R2-65
31230_K36-46
31230_R8-28B
31230_M27-1B
31230_R12F-2
31230_R22-9C
31230_R12-61B
31230_J28-34
31230_R21-27
31230_I34-1
31230_L29-45
31230_R11C-21
31230_R15-12
31230_L36-12
31230_R11-32
31230_J24-8
31230_J25-6
31230_R5-13D
31230_J19-14
31230_L30-24
31230_K19-34
31230_L29-37A
31230_R11-70
31230_R14B-18
31230_R6-19
31230_R3-9
31230_R13F-13A
31230_K33-38
31230_R16-34A
31230_L14-28
31230_R21A-10
31230_H29-68
31230_K27-18
31230_G32-7A
31230_R15-79
31230_R16B-21
31230_L18-3
31230_R19-23A
31230_I25-64
31230_M11-3
31230_R12H-3
31230_R8-206
31230_R25-43
31230_R24A-27
31230_J26-15
31230_R18A-3A
31230_I25-7
31230_R12F-11
31230_R16-50
31230_R11-23B
31230_R1-11B
31230_L15-104
31230_R11A-46
31230_R12G-26
31230_J32-13
31230_I19-4
31230_R11C-11
31230_R14-25
31230_K35-49
31230_G31-46
31230_K14-35
31230_L37-3
31230_R18-2
31230_J14-23
31230_K27-16
31230_R7-31A-6
31230_G31-42A
31230_I15-22
31230_R18-50B
31230_R21-57
31230_R23-7A
31230_M29-42
31230_R6A-6
31230_R15-86
31230_K35-22
31230_R6-18
31230_R17-22
31230_H27-8
31230_R18-57B
31230_K29-37
31230_R11C-41
31230_I15-28
31230_K30-12
31230_R13B-1
31230_R2-46H
31230_R18A-4-1
31230_M11-6
31230_R22B-21
31230_J33-51
31230_R2-44
31230_L26-43
31230_R6-41D
31230_J13-4
31230_J31-34
31230_R2-34
31230_R16-5S
31230_R2-46G
31230_R19A-144
31230_L28-36
31230_R25A-25
31230_J34-37
31230_R21A-9
31230_H26-17
31230_K15-40
31230_R2-62B
31230_H29-4
31230_R25A-16
31230_J29-14
31230_J29-27
31230_R15-27A
31230_R12E-1
31230_R11A-5
31230_R19A-82
31230_J31-13
31230_G32-1
31230_K26-2
31230_J15-14
31230_R7-30C
31230_R21A-18
31230_L27-63
31230_R8-21
31230_J34-28A
31230_R17-24
31230_L18-16
31230_L32-26
31230_H28-20
31230_R15-1A
31230_R17-1D
31230_R18A-110
31230_J34-7
31230_K27-25
31230_R1-23D
31230_R11-58
31230_L15-7
31230_M30-45
31230_R6-58A
31230_I19-6A
31230_K20-30A
31230_L17-24
31230_R6-69A
31230_R16-31
31230_R5-19G
31230_R15B-19
31230_H29-27
31230_R21A-5
31230_K20-45B
31230_L20-38
31230_L13-12
31230_J34-32
31230_L17-4
31230_R19A-13
31230_F31-16
31230_R6-101
31230_R6-54B
31230_R6-42B
31230_L14-35A
31230_R19A-36
31230_R25-1B-13
31230_L26-16
31230_R12D-30
31230_H28-54
31230_R12-58A
31230_R12-107
31230_L28-27
