01100_R12025000000
01100_R8 032000000
01100_R1321D000000
01100_R7 019000000
01100_R3 1D 000000
01100_R7 86D000000
01100_R1313B001001
01100_R6 2K 000000
01100_R3 013000000
01100_R13009000000
01100_R7 046001001
01100_R1307A000000
01100_R5 48P000000
01100_R2 025000000
01100_R1 36A000000
01100_R1315D000000
01100_R7 024000000
01100_R4 036000000
01100_R3 3C 000000
01100_R1606F000000
01100_R7 062001001
01100_R9 06A000000
01100_R1313I000000
01100_R1033D000000
01100_R1312C000000
01100_R8 006000000
01100_U4 005000000
01100_R5 19A000000
01100_R11028000000
01100_R9 005000000
01100_R1 033000000
01100_R12024000000
01100_R11015000000
01100_R3 22A000000
01100_R1315A000000
01100_R1315B001001
01100_R4 05A000000
01100_R1 36B000000
01100_R8 040000000
01100_R7 001000000
01100_R10003001001
01100_U1 028000000
01100_R10032000000
01100_R15009000000
01100_R1222F000000
01100_R8 30A000000
01100_R8 034000000
01100_R7 088000000
01100_R13003000000
01100_R1230A000000
01100_U3 005000000
01100_R3 003000000
01100_R10023000000
01100_R8 431001001
01100_U1 003000000
01100_U3 012000000
01100_R10007000000
01100_R7 018000000
01100_R4 064000000
01100_R13006000000
01100_R7 045000000
01100_R7 12C000000
01100_R9 017000000
01100_R162I 000000
01100_R10035000000
01100_R5 28B000000
01100_R6 2E 001001
01100_R7 30A000000
01100_R9 10A000000
01100_R14010000000
01100_R7 061001001
01100_R4 03A000000
01100_R4 066000000
01100_R6 011000000
01100_R3 36D000000
01100_R3 36A000000
01100_R11128001001
01100_R1 022000000
01100_R5 48Y000000
01100_R9 018000000
01100_R6 09A000000
01100_R4 44G001001
01100_R3 37F000000
01100_R11040000000
01100_R5 042001001
01100_R6 7DA001001
01100_R7 044000000
01100_R1313A001001
01100_R4 18B001001
01100_R3 37E000000
01100_R14022000000
01100_R6 5A2001001
01100_R111Z 001001
01100_U2 008000000
01100_R162D 000000
01100_R1 044000000
01100_R11029000000
01100_R4 033000000
01100_R8 38A000000
01100_R163D 000000
01100_R4 014000000
01100_R1215C000000
01100_U1 029000000
01100_R131J 000000
01100_R1417G000000
01100_U4 006000000
01100_R8 005000000
01100_R1321B000000
01100_R7 74E000000
01100_R7 087000000
01100_R7 091000000
01100_U4 001000000
01100_U3 019000000
01100_R5 036001001
01100_R3 37B000000
01100_R5 045001001
01100_R16001000000
01100_R7 67A000000
01100_R5 005000000
01100_R3 36F000000
01100_R111Q 001001
01100_R8 015000000
01100_R1612D000000
01100_R2 009000000
01100_R7 093000000
01100_R1036A000000
01100_R11120001001
01100_R8 041001001
01100_R9 019000000
01100_R4 041000000
01100_R3 3D 000000
01100_R10021000000
01100_R1 12A000000
01100_R5 011000000
01100_R6 2FG001001
01100_R2 13A000000
01100_R16013000000
01100_R4 056000000
01100_R7 022000000
01100_R9 011000000
01100_R4 023000000
01100_R118B 000000
01100_R12001000000
01100_R1 019000000
01100_R1411B001001
01100_R139A 000000
01100_R7 074000000
01100_R5 36G001001
01100_R8 022000000
01100_R7 070000000
01100_R12035000000
01100_R6 018000000
01100_R10041000000
01100_R7 87A000000
01100_R5 48R000000
01100_R7 64L000000
01100_R3 22C000000
01100_R5 014000000
01100_R13011000000
01100_R2 004000000
01100_R1 017000000
01100_R3 37A000000
01100_R1231C001001
01100_R2 020000000
01100_R8 013000000
01100_R3 36G000000
01100_R4 49B000000
01100_R1222N000000
01100_R1222G000000
01100_R1 020000000
01100_R111T 001001
01100_R6 7DD001001
01100_R1107A000000
01100_R1237B000000
01100_R6 020000000
01100_R1 028000000
01100_R13008000000
01100_R2 10A000000
01100_R3 020000000
01100_R5 37J000000
01100_R4 039000000
01100_R1 004000000
01100_R4 069000000
01100_R5 038000000
01100_R5 48Z000000
01100_R3 019000000
01100_R3 36J000000
01100_R1512E000000
01100_R2 011000000
01100_R5 48V000000
01100_R8 038000000
01100_R7 029000000
01100_R10019000000
01100_R7 049001001
01100_R14011000000
01100_R5 003000000
01100_R3/29B
01100_R8 030000000
01100_R5 37A000000
01100_R6 01C001001
01100_R13002000000
01100_R13023000000
01100_R4 058000000
01100_R4 53C000000
01100_R3 36C000000
01100_R5 39B001001
01100_U2 009000000
01100_R14009000000
01100_R5 022000000
01100_R7 64B001001
01100_R1101V001001
01100_R4 008000000
01100_R1416D001001
01100_U3 026000000
01100_R4 46B000000
01100_R2 13H000000
01100_R6 7CB001001
01100_R16010000000
01100_R1029D000000
01100_U1 025000000
01100_R2 034000000
01100_R2 13D000000
01100_R4 020000000
01100_R5 36A000000
01100_R7 013000000
01100_R12020000000
01100_R6 07C001001
01100_R3 22D000000
01100_R158B 000000
01100_R6 005000000
01100_R7 012000000
01100_R7 64J001001
01100_R6 19A000000
01100_R1108A000000
01100_R8 40C000000
01100_R11130001001
01100_R5 018000000
01100_R166-5000000
01100_R5 010000000
01100_U1 007000000
01100_R7 302000000
01100_R4 64A000000
01100_R7 077000000
01100_R5 39D001001
01100_R111N 001001
01100_R12034000000
01100_U2 013000000
01100_R8 25A000000
01100_R5 37L000000
01100_R5 13B000000
01100_U2 020000000
01100_R2 20B000000
01100_R1034A000000
01100_R8 19A000000
01100_U3 020000000
01100_R7 64M001001
01100_U1 002000000
01100_U1 2A 000000
01100_R4 006000000
01100_R7 056001001
01100_R131D 000000
01100_R3 023000000
01100_R7 005000000
01100_R162E 000000
01100_R2 018000000
01100_R4 034000000
01100_R5 9A 000000
01100_R3 11A000000
01100_R11017000000
01100_R1512B000000
01100_R12004000000
01100_R9 013000000
01100_R6 18B000000
01100_R1 007000000
01100_R5 37O001001
01100_R152G 001001
01100_R3 012000000
01100_R4 44A000000
01100_R3 36K000000
01100_R13021000000
01100_R4 18D001001
01100_U1 010000000
01100_R4 026000000
01100_R4 55B000000
01100_R9 008000000
01100_R3 23B000000
01100_R5 39E001001
01100_R10028000000
01100_R16004000000
01100_R4 002000000
01100_U3 002000000
01100_R12012000000
01100_R6 1A 001001
01100_R5 048000000
01100_R1 029000000
01100_R111B 001001
01100_R155D 001001
01100_R5 48A000000
01100_U3 029000000
01100_R11014000000
01100_R10025000000
01100_U1 019000000
01100_R11039000000
01100_R4 46C000000
01100_U2 005000000
01100_R6 014000000
01100_R9 020000000
01100_R155F 001001
01100_R4 054000000
01100_R4 53A000000
01100_R4 10A000000
01100_R4 065000000
01100_R10011000000
01100_R4 49A000000
01100_R5 41I001001
01100_R1625B000000
01100_R5 028000000
01100_R8 024000000
01100_R2 20A000000
01100_R7 011000000
01100_R4 052000000
01100_R12018000000
01100_R4 06A000000
01100_R3 37D000000
01100_R111L 001001
01100_U3 006000000
01100_U1 015000000
01100_R4 62A000000
01100_R1105A000000
01100_R1624A000000
01100_R5 48K000000
01100_R4 53D000000
01100_R8 46E001001
01100_R4 047000000
01100_R7 12B000000
01100_R2 012000000
01100_R1626F000000
01100_R1007A000000
01100_R3 3A 000000
01100_R5 019000000
01100_R3 23A000000
01100_R1313D001001
01100_R12017000000
01100_U1 016000000
01100_U3 018000000
01100_R119A 000000
01100_R7 74B000000
01100_R2 030000000
01100_R14015000000
01100_U1 006000000
01100_R5 37H000000
01100_R1002B000000
01100_R111G 000000
01100_R6 7DB001001
01100_R14001000000
01100_R1036B000000
01100_R3 3B 000000
01100_R3 36L000000
01100_R13025000000
01100_R1301A000000
01100_R14025000000
01100_R15006000000
01100_R5 39A001001
01100_R8 19C000000
01100_R10016000000
01100_R8 027000000
01100_R10042000000
01100_R3 018000000
01100_U1 022000000
01100_R12014000000
01100_R1312B000000
01100_R3 29A000000
01100_R7 64P000000
01100_R111O 001001
01100_R5 002000000
01100_R4 063000000
01100_R1033F001001
01100_R7 043000000
01100_R1 040000000
01100_R10043000000
01100_R16011000000
01100_R7 009000000
01100_R11005000000
01100_R11038000000
01100_R10022000000
01100_R4 18G001001
01100_R3 008000000
01100_R5 48H000000
01100_R7 020000000
01100_R4 004000000
01100_R3 11C000000
01100_U1 26A000000
01100_R16005000000
01100_R10034000000
01100_R4 48A000000
01100_R10031000000
01100_R1132D001001
01100_R8 003000000
01100_U1 008000000
01100_R1127A000000
01100_R4 061000000
01100_R3 022000000
01100_R10001000000
01100_R8 40B000000
01100_R14014001001
01100_R6 017000000
01100_R7 058001001
01100_R1602A000000
01100_R7 87C000000
01100_R4 017000000
01100_R4 059000000
01100_R1416C001001
01100_R4 035000000
01100_R8 047000000
01100_R1626E000000
01100_R158C 000000
01100_R4 18C001001
01100_R1625A000000
01100_R7 028000000
01100_U1 024000000
01100_R162G 000000
01100_R8 46D001001
01100_U2 007000000
01100_R1325C001001
01100_R1505A000000
01100_R3 37C000000
01100_R13014000000
01100_R8 21B000000
01100_R7 64F001001
01100_R2 03A000000
01100_U3 011000000
01100_R5 016000000
01100_R7 069000000
01100_R4 48B000000
01100_R13020000000
01100_R12029000000
01100_R5 48O000000
01100_R12019000000
01100_R4 053000000
01100_R1031A000000
01100_R16028000000
01100_R14019000000
01100_R16025000000
01100_R1222D000000
01100_R5 48T000000
01100_R10038000000
01100_R7 85A000000
01100_R7 063000000
01100_R8 048000000
01100_R1312E000000
01100_U2 001000000
01100_R3 36N000000
01100_R1512A000000
01100_U3 021000000
01100_R4 06B000000
01100_R2 022000000
01100_R4 67A000000
01100_R7 075000000
01100_R1408A000000
01100_R5 28A000000
01100_R2 027000000
01100_R7 87D000000
01100_R1 041000000
01100_R3 035000000
