01060_R03029C00000
01060_U14009000000
01060_U28019000000
01060_U27010000000
01060_U30030000000
01060_R09050000000
01060_R05023C00000
01060_U18021000000
01060_U04116000000
01060_R07038F00000
01060_U20037000000
01060_U03021000000
01060_U04152000000
01060_U30085000000
01060_U04113000000
01060_U05076000000
01060_R08021G00000
01060_U15A00011000
01060_U30027000000
01060_U03020000000
01060_U04003000000
01060_R05027000000
01060_U15A00047000
01060_U04051000000
01060_U07017000000
01060_R07021000000
01060_U14026000000
01060_R07047A00000
01060_U05016000000
01060_U07059A00000
01060_U29002000000
01060_U15046000000
01060_U07110000000
01060_U12050000000
01060_U14017000000
01060_U10027000000
01060_R06008A00000
01060_U25019000000
01060_U07170000000
01060_R07055B00000
01060_R07040C00000
01060_U15019000000
01060_R02039A00000
01060_U05170000000
01060_U25026000000
01060_U14008000000
01060_R09051000000
01060_U01036000000
01060_U04123000000
01060_U26006000000
01060_U30065000000
01060_U28012000000
01060_R04031000000
01060_U16070000000
01060_U06020000000
01060_U08028000000
01060_U04134000000
01060_U08017000000
01060_R05045000000
01060_R02032A00000
01060_U15064000000
01060_U26064000000
01060_R03002000000
01060_R09043A00000
01060_R09030A00000
01060_R05040000000
01060_U04061000000
01060_R05009L00000
01060_R05009K00000
01060_U15084000000
01060_R07043000000
01060_U19031000000
01060_R05005000000
01060_R04033000000
01060_R02035000000
01060_U04096000000
01060_U19043000000
01060_U17012000000
01060_R08008N00000
01060_U30075000000
01060_U04010000000
01060_R09022000000
01060_U07166000000
01060_R05003000000
01060_R03017000000
01060_R08021R00000
01060_U17009000000
01060_U15A00005000
01060_U30077000000
01060_U04186000000
01060_R09004000000
01060_U12036000000
01060_U15A00010000
01060_R08041B00000
01060_R02048000000
01060_R08021L00000
01060_R02038000000
01060_R02038A00000
01060_U08143000000
01060_U17011000000
01060_U15025D00000
01060_R09002000000
01060_U15074000000
01060_U29008000000
01060_R07016000000
01060_U04112000000
01060_U03007H00000
01060_U18028000000
01060_U04057000000
01060_U17010000000
01060_R08064C00000
01060_R04006000000
01060_R07037B00000
01060_U19107000000
01060_U05120000000
01060_U28047000000
01060_R04001A00000
01060_U07170A00000
01060_U26099000000
01060_U06032000000
01060_U04180000000
01060_U18011000000
01060_R05007H00000
01060_U07121A00000
01060_U16051A00000
01060_U07020000000
01060_U26011000000
01060_U21004000000
01060_U19111000000
01060_U17002000000
01060_U26067000000
01060_U19030000000
01060_U12019000000
01060_U12011000000
01060_U21019000000
01060_U12028000000
01060_U09032000000
01060_U14004000000
01060_U25007000000
01060_R08053000000
01060_U07149A00000
01060_U04151000000
01060_U05086000000
01060_U08008000000
01060_U09011D00000
01060_U07060000000
01060_U19034000000
01060_U23003F00000
01060_U28017A00000
01060_U05060000000
01060_U18027A00000
01060_U30066000000
01060_U26004000000
01060_U05040000000
01060_U07066000000
01060_R04018000000
01060_U18017000000
01060_U09072000000
01060_U16009000000
01060_U19122000000
01060_U17013000000
01060_U20A00023000
01060_U16029000000
01060_U19042A00000
01060_U19134000000
01060_U25050000000
01060_U16051B00000
01060_U07136000000
01060_R09024000000
01060_U09078000000
01060_U11011000000
01060_U08151000000
01060_U10023000000
01060_U15A00032000
01060_U25013000000
01060_R08016B00000
01060_U04168000000
01060_U08004000000
01060_U26046000000
01060_U20032000000
01060_U16039000000
01060_U30045000000
01060_U19001A00000
01060_R06013A00000
01060_U17021000000
01060_R04022B00000
01060_U23009D00000
01060_U15A00065000
01060_U08007000000
01060_U18025000000
01060_U26026000000
01060_U11072000000
01060_U15A00060000
01060_U26092000000
01060_U09034000000
01060_U08102000000
01060_R03024A00000
01060_U20A00061000
01060_U25009000000
01060_U03028000000
01060_R07011C00000
01060_U15A00076000
01060_U12034000000
01060_U07052000000
01060_U17014A00000
01060_U28063000000
01060_U15055000000
01060_R08008K00000
01060_R08009B00000
01060_U05121000000
01060_U04126000000
01060_U21012000000
01060_U08106000000
01060_U05228000000
01060_R07049B00000
01060_R08058000000
01060_U16079000000
01060_U15019B00000
01060_R08050R00000
01060_U07022000000
01060_U11082000000
01060_R07049E00000
01060_U15A00092000
01060_U14003000000
01060_R04026B00000
01060_R07057C00000
01060_U19022000000
01060_U15A00089000
01060_U08086000000
01060_U16054000000
01060_U15057000000
01060_U26056000000
01060_U08131000000
01060_U28020000000
01060_U15A00054000
01060_U09017000000
01060_U08150000000
01060_U07173000000
01060_U26066000000
01060_R07054W00000
01060_U20A00018000
01060_U15033000000
01060_U01022000000
01060_U05069000000
01060_U08052000000
01060_R09019G00000
01060_R08021K00000
01060_U19020000000
01060_U15A00079000
01060_U07004000000
01060_U26072000000
01060_U07162000000
01060_U08038000000
01060_R06014A00000
01060_U15A00070000
01060_R08001000000
01060_U07149000000
01060_U05014000000
01060_U03007K00000
01060_R04015A00000
01060_U12005A00000
01060_U08142000000
01060_R04039A00000
01060_R07052000000
01060_R08065000000
01060_U14020000000
01060_U07187000000
01060_R09006000000
01060_U29011000000
01060_U12063000000
01060_U08014000000
01060_U07168000000
01060_U15010D00000
01060_R04045000000
01060_R04035B00000
01060_U30035A00000
01060_U25017000000
01060_R07008000000
01060_U03055000000
01060_U01002000000
01060_U28018000000
01060_U10009000000
01060_U04002000000
01060_U16068000000
01060_U19117000000
01060_U19007A00000
01060_U01026000000
01060_U14007000000
01060_R08050K00000
01060_U23013000000
01060_U12070000000
01060_U15A00110000
01060_R02026000000
01060_U20A00065000
01060_R07057F00000
01060_U19105000000
01060_U15108000000
01060_U05178000000
01060_U07074000000
01060_U11002000000
01060_U11084R00000
01060_U15A00074000
01060_U20A00039000
01060_U14002000000
01060_U07140000000
01060_U08023000000
01060_U05042000000
01060_U13004000000
01060_U28035000000
01060_R09007E00000
01060_U23004A00000
01060_U20017000000
01060_U07080000000
01060_U17006000000
01060_R09003A00000
01060_U03008000000
01060_R07024E00000
01060_R09001B00000
01060_U01012000000
01060_U07109000000
01060_U13040000000
01060_U22005000000
01060_U12039000000
01060_R01008000000
01060_U11004000000
01060_U05083000000
01060_U05136000000
01060_R08053A00000
01060_R03025B00000
01060_U04183C00000
01060_U18027000000
01060_U02051A00000
01060_U16038000000
01060_U15047A00000
01060_U20A00060000
01060_R09003E00000
01060_U04013000000
01060_U15032000000
01060_R08021T00000
01060_U07038000000
01060_U07137000000
01060_U25043000000
01060_R03025A00000
01060_U09045000000
01060_U16027000000
01060_U04108000000
01060_U05032000000
01060_R03005A00000
01060_R09046A00000
01060_U19096000000
01060_U05127000000
01060_U18022A00000
01060_R01017B00000
01060_U17001A00000
01060_U05097000000
01060_U19101D00000
01060_U16059000000
01060_U22018B00000
01060_U15A00034000
01060_R03029A00000
01060_U08107000000
01060_U05183000000
01060_U14006000000
01060_U12014000000
01060_U11014000000
01060_U12025000000
01060_U15079000000
01060_R08032A00000
01060_U07195000000
01060_R09030C00000
01060_U09056000000
01060_U08144000000
01060_U28003000000
01060_U25048000000
01060_R08019000000
01060_R05015000000
01060_U07027000000
01060_R08006F00000
01060_R03031000000
01060_U06032A00000
01060_U18030000000
01060_U05078000000
01060_U19044000000
01060_U05005000000
01060_U08064000000
01060_U05156000000
01060_U27013B00000
01060_R08003000000
01060_U05202000000
01060_U28025000000
01060_U03006000000
01060_U05153000000
01060_R03022000000
01060_U24016000000
01060_U05175000000
01060_R07054H00000
01060_U02027000000
01060_U12059000000
01060_U05208000000
01060_U13042000000
01060_U04104000000
01060_U20A00024000
01060_U08001A00000
01060_U20A00007000
01060_U13033000000
01060_U15007000000
01060_U07130A00000
01060_R04026C00000
01060_R04008B00000
01060_R03025D00000
01060_R04011000000
01060_U24021A00000
01060_R07035B00000
01060_U02050000000
01060_U04102000000
01060_U19026000000
01060_R09011G00000
01060_U13049000000
01060_U07029000000
01060_U16036000000
01060_R07009A00000
01060_R08050B00000
01060_U05206000000
01060_U29025000000
01060_R01019000000
01060_R08008G00000
01060_U15A00037000
01060_R08054A00000
01060_U05018000000
01060_U23017000000
01060_R08064A00000
01060_U05102000000
01060_U19002000000
01060_U17010A00000
01060_U29012000000
