19310_U06-047&048
19310_U03-016
19310_U09-036
19310_U08-053
19310_U09-067
19310_R09-022
19310_R08-038
19310_R05-002
19310_U01-014
19310_U01-071
19310_R03-027-028
19310_R09-002
19310_R11-001-ET AL
19310_R08-035
19310_R04-016
19310_U09-060
19310_U06-049
19310_R08-012
19310_U06-011
19310_U06-050
19310_U06-018
19310_U01-104
19310_U06-053
19310_U01-093
19310_U02-048
19310_U04-022
19310_U04-028
19310_U08-009
19310_U01-127
19310_R03-010
19310_U09-048
19310_U01-070
19310_R08-023
19310_R13-004
19310_U01-003
19310_R10-015
19310_U01-036&058
19310_U01-152
19310_R07-022
19310_U02-049
19310_U06-039
19310_R08-034
19310_U01-075
19310_R07-007
19310_R10-006
19310_U01-038
19310_U08-026
19310_U06-026
19310_U01-096.1
19310_R04-010
19310_R10-012
19310_U07-007
19310_U04-017
19310_U01-076
19310_U02-026
19310_U08-010
19310_R04-031
19310_R01-005
19310_U01-029
19310_R08-036 & 037
19310_U06-052
19310_U01-026
19310_U08-005
19310_U02-039
19310_R09-007
19310_U01-082
19310_R14-008
19310_U05-016
19310_U01-120&120.1
19310_U01-053
19310_U09-039
19310_U04-011
19310_U08-051
19310_U09-057
19310_R09-005
19310_R08-030
19310_R09-017
19310_U01-100
19310_R09-003
19310_R14-004
19310_U06-007
19310_U08-002
19310_U01-133
19310_U09-045
19310_R04-046
19310_U07-003
19310_R14-003
19310_R10-010
19310_U06-UNK
19310_U08-019
19310_U01-106
19310_U01-013
19310_U07-036
19310_U01-UNK
19310_U06-038
19310_U09-004
19310_U08-037
19310_U04-010
19310_U08-031
19310_U01-032
19310_R04-003
19310_U01-041
19310_R07-015
19310_R14-010
19310_R04-040
19310_U07-011
19310_U01-078
19310_U08-039
19310_U09-018
19310_U01-072
19310_U01-124
19310_U06-042
19310_U01-077
19310_U08-UNK
19310_R17-028
19310_R10-009
19310_U01-062
19310_U05-009
19310_U01-066
19310_U04-023
19310_U06-017
19310_U04-021
19310_U03-015
19310_U07-017
19310_U06-020
19310_U02-014
19310_R14-020
19310_R17-020
19310_R04-036
19310_R04-023 ET AL
19310_U05-012
19310_R04-008
19310_U06-055
19310_U04-029
19310_U02-010
19310_R07-001
19310_R17-013
19310_U01-107
19310_R17-010
19310_R03-017
19310_R09-021
19310_U09-010
19310_R08-025
19310_R17-026
19310_U02-050&51
19310_R12-006
19310_U01-045
19310_U07-029
19310_U02-047
19310_R12-003
19310_U04-016
19310_R04-034
19310_U09-050
19310_U05-001
19310_R09-020
19310_R17-003
19310_R14-019
19310_R09-019
19310_U08-013
19310_R04-018
19310_U09-009
19310_R04-045
19310_U01-069
19310_U03-010
19310_R17-014
19310_R08-018
19310_R08-005
19310_U01-094
19310_U08-046
19310_R04-033
19310_R03-016
19310_U01-119
19310_U03-009
19310_U03-014
19310_U02-009
19310_U01-092
19310_U06-009
19310_U07-035
19310_U09-011
19310_R14-024
19310_U02-038
19310_U06-022
19310_U01-027
19310_U01-009
19310_R10-014
19310_R10-016
19310_U01-006
19310_U08-040
19310_R06-011
19310_R14-013
19310_R09-006
19310_U09-069
19310_U08-036
19310_U02-033
19310_U09-031
19310_R08-003
19310_U09-041
19310_U04-006
19310_U09-052
19310_U09-062
19310_U01-016
19310_U09-063
19310_U06-016
19310_U01-114
19310_U01-001
19310_U04-013
19310_U04-032
19310_U01-037
19310_R08-024
19310_U01-065
19310_R12-008
19310_U06-024
19310_U01-088
19310_U04-001
19310_R07-010
19310_U02-053
19310_U08-012
19310_U05-024
19310_U02-040
19310_U01-08.1
19310_U02-020
19310_R08-001
19310_R07-003
19310_U01-134
19310_U06-040
19310_U08-003
19310_R04-038
19310_U09-042
19310_U06-001
19310_R13-001
19310_R17-008
19310_U02-012
19310_U04-031
19310_R04-007
19310_U08-016
19310_U01-115
19310_U08-023
19310_R14-022
19310_U01-142
19310_R17-029
19310_U03-001
19310_R03-015
19310_R03-UNK
19310_U05-019
19310_U09-021
19310_U09-053
19310_U01-122&122-1
19310_U01-087
19310_U02-030
19310_U04-036
19310_U07-019
19310_R08-008&017
19310_R12-002
19310_R08-027
19310_R06-005
19310_R10-008
19310_U08-045
19310_U06-037
19310_U07-018
19310_U01-131
19310_R03-023
19310_R08-026
19310_
19310_R13-003
19310_U04-014
19310_U04-030
19310_U08-038
19310_U09-008
19310_R09-011
19310_U08-041
19310_U07-009
19310_U01-051
19310_U02-031
19310_U05-030
19310_U09-025
19310_U06-010
19310_U07-030
19310_R04-009
19310_U01-028
19310_U05-022
19310_U06-008
19310_U01-048
19310_U07-013
19310_U01-084
19310_R09-012
19310_U01-015
19310_U03-002&3
19310_U05-UNK
19310_R12-001
19310_U04-034
19310_U02-002
19310_R09-024
19310_U08-024
19310_R07-006
19310_U01-019
19310_R09-026
19310_U06-030
19310_U04-038
19310_U07-012
19310_U01-132
19310_U09-064
19310_R06-004
19310_R09-023
19310_U01-074
19310_U09-007
19310_U01-039
19310_U01-030
19310_R14-021
19310_U05-007
19310_U04-020
19310_U07-023
19310_U01-090
19310_U04-019
19310_U09-054
19310_R14-001
19310_U01-055&056
19310_R03-009
19310_R04-044
19310_U05-026
19310_R09-018
19310_R17-001
19310_U05-020
19310_U06-044
19310_R14-016
19310_R17-027
19310_R04-017
19310_U07-025
19310_U07-034
19310_U09-044
19310_U04-003
19310_U02-003
19310_R09-029
19310_R17-009
19310_R07-023
19310_R01-009
19310_U06-033
19310_U01-018
19310_U06-019
19310_U09-029
19310_R12-009
19310_R02-UNK
19310_U02-027
19310_U01-136
19310_U04-026
19310_R03-008
19310_R02-R05-001
19310_U01-034
19310_U04-033
19310_U09-065
19310_U02-022
19310_U01-010
19310_U05-032
19310_U01-149
19310_R05-003
19310_U02-023
19310_U06-013
19310_U05-017&018
19310_R06-001-R03-004
19310_R04-026
19310_U03-022
19310_U01-008
19310_R08-006
19310_U07-010
19310_U01-085
19310_U01-073
19310_U02-001
19310_U01-040
19310_R03-005-013-014
19310_R03-026
19310_R14-002
19310_U02-015
19310_U04-035
19310_U01-033
19310_R06-R08-002
19310_U04-039
19310_R06-007
19310_U01-125
19310_U02-007
19310_U04-004
19310_U05-031
19310_R04-032
19310_R10-017
19310_U09-003
19310_U04-027
19310_R03-002
19310_U09-006
19310_U01-007
19310_R17-025
19310_U09-075
19310_U07-028
19310_U09-056
19310_U01-091
19310_U08-001
19310_U05-021
19310_U01-002
19310_U04-009
19310_R17-021
19310_R01-004
19310_U07-004
19310_U03-005
19310_U01-116
19310_U05-033
19310_R04-027
19310_U02-018
19310_R04-013
19310_U08-047
19310_R10-013
19310_U07-031
19310_R08-039
19310_U01-135
19310_U03-013
19310_U08-014
19310_U06-051
19310_R09-010
19310_U07-008
19310_U08-015
19310_R14-012
19310_U01-139
19310_U02-006
19310_R15-002
19310_U02-005
19310_U01-012
19310_U05-006
19310_R03-018
19310_R07-021
19310_U01-004
19310_R09-014
19310_U03-008
19310_U07-032
19310_U09-027
19310_R07-017
19310_R06-006-R08-001
19310_R17-UNK
19310_R07-005
19310_U02-024
