11020_00014 00050 00000
11020_00043 00005 00000
11020_00026 00113 00000
11020_00009 0005A 00000
11020_00027 00065 00000
11020_00035 00147 00000
11020_00011 00010 00000
11020_0004A 00071 00000
11020_00041 00098 00000
11020_00046 0046A 00000
11020_00027 00073 00000
11020_00043 00189 00000
11020_00042 0081F 00000
11020_00002 00014 00000
11020_00057 00023 00000
11020_00041 00196 00000
11020_00003 0006A 00000
11020_00004 00114 00000
11020_00023 0100C 00000
11020_00007 0015B 00000
11020_00002 00038 00000
11020_00025 00005 00000
11020_00023 00041 00000
11020_00012 00037 00000
11020_00004 0103A 00000
11020_00011 0075A 00000
11020_00011 00093 00000
11020_00023 00027 00000
11020_00074 0021A 00000
11020_00006 00075 00000
11020_00027 00050 00000
11020_00011 00002 00000
11020_00006 0019B 00000
11020_00014 00047 00000
11020_00038 00006 00000
11020_00085 0004A 00000
11020_00030 00048 00000
11020_00058 00140 00000
11020_00026 00055 00000
11020_00061 0006A 00000
11020_00005 00176 00000
11020_00074 00002 00000
11020_0010A 00037 00000
11020_00010 00040 00000
11020_00030 00121 00000
11020_00043 00234 00000
11020_00023 00101 00000
11020_00042 00034 00000
11020_00001 00200 00000
11020_00038 00101 00000
11020_00002 00059 00000
11020_00026 00110 00000
11020_00021 00034 00000
11020_00086 00002 00000
11020_00017 00024 00000
11020_00076 00011 00000
11020_00001 00015 00000
11020_00023 00042 00000
11020_00041 00178 00000
11020_00033 00021 00000
11020_00086 00038 00000
11020_00042 00152 00000
11020_00038 00259 00000
11020_00001 00199 00000
11020_00027 00027 00000
11020_00004 00153 00000
11020_00035 00104 00000
11020_00054 0003A 00000
11020_00011 00076 00000
11020_00041 00175 00000
11020_00027 00139 00000
11020_00028 00112 00000
11020_00054 00017 00000
11020_0010A 00012 00000
11020_00038 00034 00000
11020_00071 00012 00000
11020_00027 00285 00000
11020_00002 00028 00000
11020_00035 00315 00000
11020_00027 00056 00000
11020_00026 00018 00000
11020_00034 0217A 00000
11020_00033 00258 00000
11020_00069 0002A 00000
11020_00027 00264 00000
11020_00058 00110 00000
11020_00007 00094 00000
11020_00003 00021 00000
11020_00001 00203 00000
11020_00019 00022 00000
11020_00029 00029 00000
11020_00043 0104A 00000
11020_00031 00036 00000
11020_00042 00169 00000
11020_00051 0011C 00000
11020_00007 00034 00000
11020_00005 00189 00000
11020_00038 00250 00000
11020_00044 00004 00000
11020_00027 00326 00000
11020_00095 00017 00000
11020_00028 00014 00000
11020_00095 0009B 00000
11020_00082 00003 00000
11020_0004A 00141 00000
11020_00076 0060A 00000
11020_00071 0017A 00000
11020_00045 00080 00000
11020_00007 0059C 00000
11020_00003 00052 00000
11020_00028 00073 00000
11020_00026 00092 00000
11020_00048 0005A 00000
11020_00074 00001 00000
11020_00043 00025 00000
11020_00037 00051 00000
11020_00046 0043B 00000
11020_00016 00035 00000
11020_00023 00001 00000
11020_00043 00007 00000
11020_00045 00036 00000
11020_00041 00222 00000
11020_00012 00063 00000
11020_00032 0066A 00000
11020_00002 00129 00000
11020_00025 0135A 00000
11020_00053 0003A 00000
11020_00026 00064 00000
11020_00001 0015A 00000
11020_00027 00127 00000
11020_00033 00075 00000
11020_00005 00138 00000
11020_00009 0041B 00000
11020_00090 00019 00000
11020_00005 00018 00000
11020_00011 00082 00000
11020_00012 0064C 00000
11020_00032 00042 00000
11020_00030 00110 00000
11020_00078 00043 00000
11020_00014 00042 00000
11020_00018 00064 00000
11020_00003 0019A 00000
11020_0010A 00019 00000
11020_00030 00016 00000
11020_00004 0093A 00000
11020_00058 00006 00000
11020_0010A 00026 00000
11020_00019 00009 00000
11020_00018 00084 00000
11020_00004 00069 00000
11020_00037 00057 00000
11020_00041 00145 00000
11020_00008 00065 00000
11020_00050 00004 00000
11020_00027 00320 00000
11020_00004 00124 00000
11020_00019 00049 00000
11020_00044 00028 00000
11020_00039 00045 00000
11020_00012 00079 00000
11020_00080 00020 00000
11020_00046 00042 00000
11020_00012 00016 00000
11020_00048 0013B 00000
11020_00006 00016 00000
11020_00028 00130 00000
11020_00033 00007 00000
