05190_011005A00000
05190_005016A00000
05190_041030000000
05190_006012000000
05190_070018000000
05190_009018000000
05190_077045000000
05190_076066000000
05190_018011004000
05190_004085000000
05190_008066000000
05190_024017000000
05190_012063000000
05190_004001A00000
05190_056008000000
05190_067038000000
05190_055007000000
05190_016076000000
05190_066024000000
05190_064004000000
05190_009013000000
05190_012041000000
05190_067002000000
05190_067036000000
05190_066010000000
05190_007019000000
05190_014033000000
05190_040016000000
05190_018007A00000
05190_013014000000
05190_041055000000
05190_054021000000
05190_042034000000
05190_027020000000
05190_076045000000
05190_012023000000
05190_050039000000
05190_057005000000
05190_009043000000
05190_075036000000
05190_024071000000
05190_010104000000
05190_010078000000
05190_068035000000
05190_037002000000
05190_067009000000
05190_050044000000
05190_064005000000
05190_009004000000
05190_015093A00000
05190_018004000000
05190_015085000000
05190_016051009000
05190_019040000000
05190_008035000000
05190_077016000000
05190_048012000000
05190_008086D00000
05190_055004A00000
05190_076030000000
05190_067039000000
05190_053012000000
05190_018037C00000
05190_016043A00000
05190_003010000000
05190_012071000000
05190_010093000000
05190_012072000000
05190_013062000000
05190_025018000000
05190_061017000000
05190_021020000000
05190_023004000000
05190_002026000000
05190_017020000000
05190_016086000000
05190_024029000000
05190_028012000000
05190_059029000000
05190_031001000000
05190_027012000000
05190_054073000000
05190_012044000000
05190_009028000000
05190_015006000000
05190_059037000000
05190_031029000000
05190_024083000000
05190_015058000000
05190_042004000000
05190_003049000000
05190_008003000000
05190_069005000000
05190_013015000000
05190_008065H00000
05190_069069000000
05190_023006000000
05190_009051A00000
05190_069091000000
05190_003018A00000
05190_059017000000
05190_055002000000
05190_022016000000
05190_024056000000
05190_011042005000
05190_040026000000
05190_018036000000
05190_055003000000
05190_042003000000
05190_006002000000
05190_030059000000
05190_046040000000
05190_015007010000
05190_015092000000
05190_017035000000
05190_059013000000
05190_022003000000
05190_004015001000
05190_042015000000
05190_067016000000
05190_009041D00000
05190_015061000000
05190_008112000000
05190_042016000000
05190_004040000000
05190_054068000000
05190_011043D00000
05190_073002B00000
05190_018038000000
05190_023008000000
05190_018018C00015
05190_013035000000
05190_011042015000
05190_041084000000
05190_065001000000
05190_055022000000
05190_069023000000
05190_003003000000
05190_073002A00000
05190_008114000000
05190_004087B00000
05190_046049000000
05190_008015000000
05190_006013000000
05190_009021000000
05190_013013000000
05190_035010000000
05190_054054000000
05190_051009000000
05190_046043000000
05190_012008000000
05190_067015000000
05190_037001001000
05190_015051000000
05190_007032B00000
05190_046030000000
05190_025017000000
05190_077040000000
05190_019037000000
05190_010105000000
05190_059018000000
05190_059005000000
05190_058008000000
05190_055056000000
05190_017024A00000
05190_015079000000
05190_031028000000
05190_032017000000
05190_011005000000
05190_017033000000
05190_076074000000
05190_033002A00000
05190_001020C00000
05190_003005C00000
05190_015042000000
05190_052025000000
05190_029006000000
05190_024003000000
05190_009041000000
05190_055043000000
05190_015007012000
05190_069042000000
05190_047003B00000
05190_026003000000
05190_069078000000
05190_069063000000
05190_026015000000
05190_040013000000
05190_003051000000
05190_008031000000
05190_068033000000
05190_011030000000
05190_076014000000
05190_013017000000
05190_075006000000
05190_048001000000
05190_026030000000
05190_075030000000
05190_004046000000
05190_060019000000
05190_052046000000
05190_068039000000
05190_066025000000
05190_071005B00000
05190_026017000000
05190_074012000000
05190_054055000000
05190_006015000000
05190_028006000000
05190_007013000000
05190_004015010000
05190_002022A00000
05190_005021000000
05190_001030000000
05190_052060000000
05190_042051000000
05190_046027000000
05190_010050000000
05190_030056000000
05190_013073E00000
05190_013007D00000
05190_029001000000
05190_008069000000
05190_015119000000
05190_017024000000
05190_012044A00000
05190_006047000000
05190_047007000000
05190_015108000000
05190_012012000000
05190_004015012000
05190_003026000000
05190_013020000000
05190_003046000000
05190_011022000000
05190_021002000000
05190_028004000000
05190_008065J00000
05190_010006000000
05190_004014A00000
05190_067045000000
05190_017043B00000
05190_075012A00000
05190_043016000000
05190_077044000000
05190_060004000000
05190_068046000000
05190_056003000000
05190_013029A00000
05190_040001000000
05190_003014000000
05190_022024000000
05190_069027000000
05190_011015000000
05190_015088A00000
05190_052081000000
05190_007009000000
05190_022009000000
05190_018035A00000
05190_012047000000
05190_030052000000
05190_007030000000
05190_016013A00000
05190_008025A00000
05190_068041000000
05190_015099A00000
05190_041067000000
05190_012049000000
05190_064001000000
05190_003034B00000
05190_069013000000
05190_017032000000
05190_052106000000
05190_071003000000
05190_007016000000
05190_074009000000
05190_014014000000
05190_003001000000
05190_052001000000
05190_016032000000
05190_010035000000
05190_031008000000
05190_035017000000
05190_018029A00000
05190_001019000000
05190_024085000000
05190_018029E00000
05190_015013000000
05190_011042020000
05190_002007000000
05190_077025000000
05190_018037A00000
05190_039039000000
05190_064022000000
05190_066001000000
05190_077051000000
05190_056004000000
05190_011042018000
05190_008092000000
05190_065014000000
05190_049016000000
05190_019048000000
05190_008025B00000
05190_011029000000
05190_011042002000
05190_024088000000
05190_014034A00000
05190_012050D00000
05190_015048000000
05190_009045000000
05190_054003000000
05190_052008000000
05190_017043A00000
05190_006058B00000
05190_014018000000
05190_004029000000
05190_018018B00000
05190_012001B00000
05190_041071000000
05190_035009000000
05190_041111000000
05190_078002000000
05190_020008000000
05190_007032C00000
05190_078050000000
05190_042028000000
05190_004061000000
05190_054038000000
05190_010023000000
05190_008082A00000
05190_078008000000
05190_033009000000
05190_070006000000
05190_032007000000
05190_062009000000
05190_041096000000
05190_046033000000
05190_003061000000
05190_024051000000
05190_015049000000
05190_016041000000
05190_030061000000
05190_019067000000
05190_004066A00000
05190_030041000000
05190_039007000000
05190_067035000000
05190_078034000000
05190_055046000000
05190_013033000000
05190_027002000000
05190_004026000000
05190_044004000000
05190_009030000000
05190_039043000000
05190_013047000000
05190_021036000000
05190_026016000000
05190_018018C00011
05190_013029000000
05190_077023000000
05190_004030A00000
05190_022035000000
05190_041044000000
05190_039036000000
05190_029013000000
05190_019064000000
05190_019019000000
05190_076061000000
05190_061039000000
05190_010061000000
05190_075005000000
05190_004050000000
05190_016047000000
05190_078035000000
05190_061014000000
05190_078037000000
05190_030036000000
05190_016095000000
05190_006056041000
05190_004082000000
05190_015015000000
05190_033002000000
05190_011061000000
05190_004018D00000
05190_076007000000
05190_066022000000
05190_006056025000
05190_078024000000
05190_030015000000
05190_052023000000
05190_015022000000
05190_016089000000
05190_046004000000
05190_053014000000
05190_076028000000
05190_008087000000
05190_004018E00000
05190_023007000000
05190_067033000000
05190_072007000000
05190_015123G00000
05190_062013000000
05190_024055000000
05190_005014000000
05190_043013000000
05190_016051012000
05190_014006A00000
05190_003010A00000
05190_015007000000
05190_024023000000
05190_018034A00000
05190_007020000000
05190_078028000000
05190_041089000000
05190_015026000000
05190_011042006000
05190_011055000000
05190_069014000000
05190_008006000000
05190_015101000000
05190_025015000000
05190_016026000000
05190_074001000000
05190_041022000000
05190_018018C00001
05190_004037000000
05190_010005A00000
05190_061036000000
05190_041106000000
05190_019071000000
05190_007003000000
05190_054039000000
05190_041026000000
05190_012064000000
05190_005007A00000
05190_005027A00000
05190_057002000000
05190_024039000000
05190_005005000000
05190_012050C00000
05190_071002000000
05190_018018C00018
05190_018034C00000
05190_006040000000
05190_011031000000
05190_011042017000
05190_077013000000
05190_023029000000
05190_048007000000
05190_010122000000
05190_067029000000
05190_004013000000
05190_028010000000
05190_030053000000
05190_066023000000
05190_015039000000
05190_008093000000
05190_013024A00000
05190_074014000000
05190_051027000000
05190_006056020000
05190_075021000000
05190_031004000000
05190_028014000000
05190_018027A00000
05190_016044000000
05190_021007000000
05190_003005B00000
05190_008041A00000
05190_023015000000
05190_008063000000
05190_006009000000
05190_010064000000
05190_030022000000
05190_069085000000
05190_076026000000
05190_040015000000
05190_001014000000
05190_071005000000
05190_003053000000
05190_026041000000
05190_034004000000
05190_011046003000
05190_042041000000
05190_001003000000
05190_011032000000
05190_018021000000
05190_054060000000
05190_018037E00000
05190_032008000000
05190_069048000000
05190_027010000000
05190_010028000000
05190_003004000000
05190_006035000000
05190_013007C00000
05190_027005000000
05190_019058A00000
05190_010071000000
05190_030002000000
05190_016049B00000
05190_046027A00000
05190_013073D00000
05190_052103000000
05190_074016000000
05190_006049000000
05190_004092000000
05190_029007A00000
05190_001021000000
05190_069022000000
05190_066017000000
05190_008042000000
05190_018026000000
05190_001016C00000
05190_069095000000
05190_041012000000
05190_061005000000
05190_006028A00000
05190_007032H00000
05190_037008000000
05190_015057000000
05190_049019000000
05190_054023000000
05190_042071000000
05190_078025000000
05190_024067000000
05190_006056014000
05190_019009000000
05190_019021000000
05190_041066000000
05190_014022A00000
05190_022002000000
05190_004047000000
05190_052097000000
05190_011042008000
05190_006034000000
05190_011024000000
05190_070010000000
05190_042057000000
05190_013051000000
05190_006056039000
05190_008016000000
05190_010113000000
05190_014029000000
05190_032003000000
05190_013073B00000
05190_071012000000
05190_015076000000
05190_042080000000
05190_015007009000
05190_016083000000
05190_039025000000
05190_077043000000
05190_040030000000
05190_015086000000
05190_014034000000
05190_010076000000
05190_011044000000
05190_056007000000
05190_067032000000
05190_031023000000
05190_004020000000
05190_017015000000
05190_025022000000
05190_052050000000
05190_076038000000
05190_024027000000
05190_008051000000
05190_021011000000
05190_018015000000
05190_055042000000
05190_016027000000
05190_008061000000
05190_019042000000
05190_019069000000
05190_052101000000
05190_014009000000
05190_025004000000
05190_006028000000
05190_054058000000
05190_026038000000
05190_071011000000
05190_011042007A00
05190_003052000000
05190_026009000000
05190_002002000000
05190_068047000000
05190_076049000000
05190_041100000000
05190_040018000000
05190_026004000000
05190_052052000000
05190_022005000000
05190_052029000000
05190_061003000000
05190_026019000000
05190_041108000000
05190_046039000000
05190_046032000000
05190_044007000000
05190_069057000000
05190_046019000000
05190_060021000000
05190_003024000000
05190_056009000000
05190_023033000000
05190_035002000000
05190_019070000000
05190_012024B00000
05190_022034000000
05190_042022000000
05190_016053000000
05190_076005000000
05190_046029000000
05190_014021000000
05190_052043000000
05190_009034000000
05190_032001000000
05190_070008000000
05190_053031000000
05190_011050000000
05190_004017000000
05190_069007000000
05190_061035000000
05190_055036000000
05190_042009000000
05190_022043000000
05190_076076000000
05190_006052000000
05190_066040000000
