05040_U54024C  000
05040_U08010B  000
05040_U38057000000
05040_R03002001000
05040_U12080000000
05040_U42008000000
05040_U28027000000
05040_U30034000000
05040_U03078000000
05040_U03089000000
05040_U21116000000
05040_U14004000000
05040_U54025C  000
05040_U47009000000
05040_U45002061000
05040_U04105000000
05040_U18007000000
05040_U21033000000
05040_R06028010000
05040_R09049002000
05040_U35018000000
05040_U35005032000
05040_U32013000000
05040_U29064001000
05040_U34018000000
05040_U21005A  000
05040_U36047000000
05040_U36089000000
05040_U22046000000
05040_U53033C  000
05040_U33052011000
05040_U06102000000
05040_U29051D  000
05040_U40004000000
05040_R04018042000
05040_U28015000000
05040_U21016000000
05040_U12068000000
05040_U33010000000
05040_U19009000000
05040_U20007A  000
05040_R04018013000
05040_U18021A  000
05040_U30049000000
05040_U29049000000
05040_U58025000000
05040_U02048000000
05040_U07022000000
05040_R04044C  000
05040_U32006044000
05040_U06058000000
05040_U05062A  000
05040_U17050004000
05040_U19007024000
05040_U56006000000
05040_U02030000000
05040_U06017000000
05040_U21112000000
05040_U05036000000
05040_U21107000000
05040_U22014000000
05040_U26009000000
05040_U24009024000
05040_U01092000000
05040_U05020000000
05040_U45003013000
05040_U43008C  000
05040_U33018000000
05040_U11003000000
05040_U06042000000
05040_U05044000000
05040_U13004000000
05040_U41002000000
05040_U20006N  000
05040_U25020000000
05040_U43006000000
05040_U38046000000
05040_U25032000000
05040_U30025000000
05040_R04018028000
05040_U21089000000
05040_U35005031000
05040_U18025000000
05040_U08043000000
05040_U13010A  000
05040_U01001000000
05040_U18006000000
05040_U03052000000
05040_R04049B  000
05040_U04025000000
05040_U10023000000
05040_U28040000000
05040_U30050000000
05040_U10008000000
05040_U25019018000
05040_U29066030000
05040_R09005B  000
05040_U05029000000
05040_U21077000000
05040_U33052021000
05040_U01035000000
05040_U01048000000
05040_U21158000000
05040_U36000E  000
05040_U01060004000
05040_U06013000000
05040_U19006A  000
05040_U47033000000
05040_U38021000000
05040_U07013000000
05040_U24026000000
05040_U45008A  000
05040_U21088000000
05040_U36116000000
05040_U36012000000
05040_U33030000000
05040_U41014000000
05040_U03004000000
05040_U10016000000
05040_U46008000000
05040_U04163000000
05040_U08015000000
05040_U44018000000
05040_R05038000000
05040_U03086000000
05040_U35032A  000
05040_U42001019000
05040_U44032000000
05040_U11009A  000
05040_U23002002000
05040_U32006008000
05040_U29041000000
05040_U35005020000
05040_U10001000000
05040_U04099C  000
05040_U60001000000
05040_U25011000000
05040_U33055D  000
05040_U15009000000
05040_R05032010000
05040_R06029000000
05040_U28033000000
05040_R09049003000
05040_U29037000000
05040_U29009000000
05040_U12007A  000
05040_U33007L  000
05040_U54023C  000
05040_U60015000000
05040_U21059000000
05040_U30333000000
05040_R03044E  000
05040_U04168000000
05040_U01028000000
05040_U30115000000
05040_U09003017000
05040_U22013000000
05040_U49033299000
05040_R03017B  000
05040_U03076000000
05040_U49023000000
05040_U14036B  000
05040_U56004000000
05040_U29066010000
05040_U14018A  000
05040_U53034C  000
05040_U19042000000
05040_U45002049000
